"pobs_2","pscale","lambda_con","kappa_con","proportion","date_first","proportion_after_wavesplit","date_first_after_wavesplit","proportion_before_ft","date_first_above_10","date_first_above_5","date_first_below_10","date_first_below_5","index_i","converges","below_5","below_10","index_column"
0.1,1.9,1.02800608488952,1.00051126993306,0.532846715328467,69,0.973333333333333,7,0.0491329479768786,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,2,1.02800608488952,1.00051126993306,0.532846715328467,69,0.973333333333333,7,0.0491329479768786,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,2.1,1.02800608488952,1.00051126993306,0.532846715328467,69,0.973333333333333,7,0.0491329479768786,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,2.2,1.02800608488952,1.00051126993306,0.532846715328467,69,0.973333333333333,7,0.0491329479768786,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,2.3,1.02800608488952,1.00051126993306,0.532846715328467,69,0.973333333333333,7,0.0491329479768786,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,2.4,1.02800608488952,1.00051126993306,0.532846715328467,69,0.973333333333333,7,0.0491329479768786,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,1,1.02800608488952,1.00051126993306,0.0072992700729927,NA,0.0133333333333333,NA,0.0491329479768786,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,1.1,1.02800608488952,1.00051126993306,0.0291970802919708,NA,0.0533333333333333,NA,0.0491329479768786,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,1.2,1.02800608488952,1.00051126993306,0.109489051094891,71,0.2,9,0.0491329479768786,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,1.3,1.02800608488952,1.00051126993306,0.197080291970803,71,0.36,9,0.0491329479768786,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,1.4,1.02800608488952,1.00051126993306,0.343065693430657,71,0.626666666666667,9,0.0491329479768786,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,1.5,1.02800608488952,1.00051126993306,0.408759124087591,69,0.746666666666667,7,0.0491329479768786,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,1.6,1.02800608488952,1.00051126993306,0.45985401459854,69,0.84,7,0.0491329479768786,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,1.7,1.02800608488952,1.00051126993306,0.496350364963504,69,0.906666666666667,7,0.0491329479768786,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,1.8,1.02800608488952,1.00051126993306,0.510948905109489,69,0.933333333333333,7,0.0491329479768786,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,2.8,1.02800608488952,1.00051126993306,0.532846715328467,69,0.973333333333333,7,0.0491329479768786,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,2.5,1.02800608488952,1.00051126993306,0.532846715328467,69,0.973333333333333,7,0.0491329479768786,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,2.6,1.02800608488952,1.00051126993306,0.532846715328467,69,0.973333333333333,7,0.0491329479768786,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,2.7,1.02800608488952,1.00051126993306,0.532846715328467,69,0.973333333333333,7,0.0491329479768786,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,2.9,1.02800608488952,1.00051126993306,0.532846715328467,69,0.973333333333333,7,0.0491329479768786,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,3,1.02800608488952,1.00051126993306,0.532846715328467,69,0.973333333333333,7,0.0491329479768786,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.2,1.2,1.01398209571678,1.00211424601829,0.116788321167883,71,0.213333333333333,9,0.046242774566474,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,1,1.01398209571678,1.00211424601829,0.0072992700729927,NA,0.0133333333333333,NA,0.046242774566474,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,1.1,1.01398209571678,1.00211424601829,0.0510948905109489,NA,0.0933333333333333,NA,0.046242774566474,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,1.3,1.01398209571678,1.00211424601829,0.197080291970803,69,0.36,7,0.046242774566474,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,1.4,1.01398209571678,1.00211424601829,0.321167883211679,69,0.586666666666667,7,0.046242774566474,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,1.5,1.01398209571678,1.00211424601829,0.394160583941606,69,0.72,7,0.046242774566474,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,1.6,1.01398209571678,1.00211424601829,0.452554744525547,69,0.826666666666667,7,0.046242774566474,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,1.7,1.01398209571678,1.00211424601829,0.503649635036496,69,0.92,7,0.046242774566474,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,1.8,1.01398209571678,1.00211424601829,0.518248175182482,69,0.946666666666667,7,0.046242774566474,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,1.9,1.01398209571678,1.00211424601829,0.525547445255474,69,0.96,7,0.046242774566474,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,2,1.01398209571678,1.00211424601829,0.532846715328467,69,0.973333333333333,7,0.046242774566474,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,2.1,1.01398209571678,1.00211424601829,0.532846715328467,69,0.973333333333333,7,0.046242774566474,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,2.2,1.01398209571678,1.00211424601829,0.532846715328467,69,0.973333333333333,7,0.046242774566474,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,2.3,1.01398209571678,1.00211424601829,0.532846715328467,69,0.973333333333333,7,0.046242774566474,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,2.4,1.01398209571678,1.00211424601829,0.532846715328467,69,0.973333333333333,7,0.046242774566474,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,2.5,1.01398209571678,1.00211424601829,0.532846715328467,69,0.973333333333333,7,0.046242774566474,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,2.6,1.01398209571678,1.00211424601829,0.532846715328467,69,0.973333333333333,7,0.046242774566474,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,2.7,1.01398209571678,1.00211424601829,0.532846715328467,69,0.973333333333333,7,0.046242774566474,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,2.8,1.01398209571678,1.00211424601829,0.532846715328467,69,0.973333333333333,7,0.046242774566474,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,2.9,1.01398209571678,1.00211424601829,0.54014598540146,68,0.986666666666667,6,0.046242774566474,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,3,1.01398209571678,1.00211424601829,0.54014598540146,68,0.986666666666667,6,0.046242774566474,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.3,1,1.02913987458942,1.00466956541424,0.0072992700729927,NA,0.0133333333333333,NA,0.0491329479768786,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.3,1.1,1.02913987458942,1.00466956541424,0.0437956204379562,NA,0.08,NA,0.0491329479768786,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.3,1.2,1.02913987458942,1.00466956541424,0.116788321167883,71,0.213333333333333,9,0.0491329479768786,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.3,1.3,1.02913987458942,1.00466956541424,0.18978102189781,71,0.346666666666667,9,0.0491329479768786,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.3,1.4,1.02913987458942,1.00466956541424,0.343065693430657,69,0.626666666666667,7,0.0491329479768786,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.3,1.5,1.02913987458942,1.00466956541424,0.401459854014599,69,0.733333333333333,7,0.0491329479768786,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.3,1.6,1.02913987458942,1.00466956541424,0.45985401459854,69,0.84,7,0.0491329479768786,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.3,1.7,1.02913987458942,1.00466956541424,0.496350364963504,69,0.906666666666667,7,0.0491329479768786,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.3,1.8,1.02913987458942,1.00466956541424,0.518248175182482,69,0.946666666666667,7,0.0491329479768786,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
