"pobs_2","pscale","lambda_con","kappa_con","proportion","date_first","proportion_after_wavesplit","date_first_after_wavesplit","proportion_before_ft","date_first_above_10","date_first_above_5","date_first_below_10","date_first_below_5","index_i","converges","below_5","below_10","index_column"
0.1,1.9,1.03006690746887,1.00100044161929,0.532846715328467,69,0.973333333333333,7,0.0578034682080925,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,2,1.03006690746887,1.00100044161929,0.532846715328467,69,0.973333333333333,7,0.0578034682080925,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,2.1,1.03006690746887,1.00100044161929,0.532846715328467,69,0.973333333333333,7,0.0578034682080925,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,2.2,1.03006690746887,1.00100044161929,0.532846715328467,69,0.973333333333333,7,0.0578034682080925,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,2.3,1.03006690746887,1.00100044161929,0.532846715328467,69,0.973333333333333,7,0.0578034682080925,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,2.4,1.03006690746887,1.00100044161929,0.532846715328467,69,0.973333333333333,7,0.0578034682080925,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,2.8,1.03006690746887,1.00100044161929,0.532846715328467,69,0.973333333333333,7,0.0578034682080925,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,1,1.03006690746887,1.00100044161929,0.0072992700729927,NA,0.0133333333333333,NA,0.0578034682080925,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,2.9,1.03006690746887,1.00100044161929,0.54014598540146,68,0.986666666666667,6,0.0578034682080925,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,2.5,1.03006690746887,1.00100044161929,0.532846715328467,69,0.973333333333333,7,0.0578034682080925,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,2.6,1.03006690746887,1.00100044161929,0.532846715328467,69,0.973333333333333,7,0.0578034682080925,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,2.7,1.03006690746887,1.00100044161929,0.532846715328467,69,0.973333333333333,7,0.0578034682080925,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,3,1.03006690746887,1.00100044161929,0.54014598540146,68,0.986666666666667,6,0.0578034682080925,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,1.1,1.03006690746887,1.00100044161929,0.0510948905109489,NA,0.0933333333333333,NA,0.0578034682080925,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,1.5,1.03006690746887,1.00100044161929,0.430656934306569,69,0.786666666666667,7,0.0578034682080925,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,1.2,1.03006690746887,1.00100044161929,0.145985401459854,71,0.266666666666667,9,0.0578034682080925,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
