"pobs_2","pscale","lambda_con","kappa_con","proportion","date_first","proportion_after_wavesplit","date_first_after_wavesplit","proportion_before_ft","date_first_above_10","date_first_above_5","date_first_below_10","date_first_below_5","index_i","converges","below_5","below_10","index_column"
0.1,1.9,1.02742836639802,1.00052670232357,0.525547445255474,69,0.96,7,0.0520231213872832,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,2,1.02742836639802,1.00052670232357,0.532846715328467,69,0.973333333333333,7,0.0520231213872832,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,2.1,1.02742836639802,1.00052670232357,0.532846715328467,69,0.973333333333333,7,0.0520231213872832,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,2.2,1.02742836639802,1.00052670232357,0.532846715328467,69,0.973333333333333,7,0.0520231213872832,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,2.3,1.02742836639802,1.00052670232357,0.532846715328467,69,0.973333333333333,7,0.0520231213872832,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,2.4,1.02742836639802,1.00052670232357,0.532846715328467,69,0.973333333333333,7,0.0520231213872832,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,2.5,1.02742836639802,1.00052670232357,0.532846715328467,69,0.973333333333333,7,0.0520231213872832,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,2.6,1.02742836639802,1.00052670232357,0.532846715328467,69,0.973333333333333,7,0.0520231213872832,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,2.7,1.02742836639802,1.00052670232357,0.532846715328467,69,0.973333333333333,7,0.0520231213872832,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,2.8,1.02742836639802,1.00052670232357,0.54014598540146,68,0.986666666666667,6,0.0520231213872832,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,1,1.02742836639802,1.00052670232357,0.0072992700729927,NA,0.0133333333333333,NA,0.0520231213872832,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,2.9,1.02742836639802,1.00052670232357,0.54014598540146,68,0.986666666666667,6,0.0520231213872832,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,3,1.02742836639802,1.00052670232357,0.54014598540146,68,0.986666666666667,6,0.0520231213872832,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,1.4,1.02742836639802,1.00052670232357,0.364963503649635,69,0.666666666666667,7,0.0520231213872832,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,1.5,1.02742836639802,1.00052670232357,0.408759124087591,69,0.746666666666667,7,0.0520231213872832,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,1.2,1.02742836639802,1.00052670232357,0.116788321167883,71,0.213333333333333,9,0.0520231213872832,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,1.3,1.02742836639802,1.00052670232357,0.204379562043796,71,0.373333333333333,9,0.0520231213872832,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,1.8,1.02742836639802,1.00052670232357,0.510948905109489,69,0.933333333333333,7,0.0520231213872832,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,1.1,1.02742836639802,1.00052670232357,0.0510948905109489,NA,0.0933333333333333,NA,0.0520231213872832,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,1.7,1.02742836639802,1.00052670232357,0.496350364963504,69,0.906666666666667,7,0.0520231213872832,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,1.6,1.02742836639802,1.00052670232357,0.467153284671533,69,0.853333333333333,7,0.0520231213872832,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.2,1.1,1.02969255710591,1.00300860331988,0.0437956204379562,NA,0.08,NA,0.0491329479768786,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,1,1.02969255710591,1.00300860331988,0.0072992700729927,NA,0.0133333333333333,NA,0.0491329479768786,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,1.7,1.02969255710591,1.00300860331988,0.489051094890511,69,0.893333333333333,7,0.0491329479768786,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,1.4,1.02969255710591,1.00300860331988,0.284671532846715,69,0.52,7,0.0491329479768786,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,1.6,1.02969255710591,1.00300860331988,0.467153284671533,69,0.853333333333333,7,0.0491329479768786,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,2.5,1.02969255710591,1.00300860331988,0.532846715328467,69,0.973333333333333,7,0.0491329479768786,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,2.7,1.02969255710591,1.00300860331988,0.532846715328467,69,0.973333333333333,7,0.0491329479768786,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,1.2,1.02969255710591,1.00300860331988,0.102189781021898,71,0.186666666666667,9,0.0491329479768786,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,2.9,1.02969255710591,1.00300860331988,0.532846715328467,69,0.973333333333333,7,0.0491329479768786,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,3,1.02969255710591,1.00300860331988,0.532846715328467,69,0.973333333333333,7,0.0491329479768786,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,2,1.02969255710591,1.00300860331988,0.532846715328467,69,0.973333333333333,7,0.0491329479768786,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,2.1,1.02969255710591,1.00300860331988,0.532846715328467,69,0.973333333333333,7,0.0491329479768786,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,1.8,1.02969255710591,1.00300860331988,0.518248175182482,69,0.946666666666667,7,0.0491329479768786,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,1.9,1.02969255710591,1.00300860331988,0.525547445255474,69,0.96,7,0.0491329479768786,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,1.3,1.02969255710591,1.00300860331988,0.182481751824818,71,0.333333333333333,9,0.0491329479768786,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,1.5,1.02969255710591,1.00300860331988,0.394160583941606,69,0.72,7,0.0491329479768786,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,2.2,1.02969255710591,1.00300860331988,0.532846715328467,69,0.973333333333333,7,0.0491329479768786,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,2.4,1.02969255710591,1.00300860331988,0.532846715328467,69,0.973333333333333,7,0.0491329479768786,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,2.8,1.02969255710591,1.00300860331988,0.532846715328467,69,0.973333333333333,7,0.0491329479768786,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,2.3,1.02969255710591,1.00300860331988,0.532846715328467,69,0.973333333333333,7,0.0491329479768786,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,2.6,1.02969255710591,1.00300860331988,0.532846715328467,69,0.973333333333333,7,0.0491329479768786,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.3,1.2,1.03893599581698,1.00313920703336,0.0875912408759124,129,0.16,67,0.0520231213872832,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.3,1.1,1.03893599581698,1.00313920703336,0.0364963503649635,NA,0.0666666666666667,NA,0.0520231213872832,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.3,1,1.03893599581698,1.00313920703336,0.0072992700729927,NA,0.0133333333333333,NA,0.0520231213872832,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.3,1.3,1.03893599581698,1.00313920703336,0.175182481751825,71,0.32,9,0.0520231213872832,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.3,1.4,1.03893599581698,1.00313920703336,0.313868613138686,69,0.573333333333333,7,0.0520231213872832,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.3,1.5,1.03893599581698,1.00313920703336,0.37956204379562,69,0.693333333333333,7,0.0520231213872832,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.3,1.6,1.03893599581698,1.00313920703336,0.445255474452555,69,0.813333333333333,7,0.0520231213872832,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.3,1.7,1.03893599581698,1.00313920703336,0.489051094890511,69,0.893333333333333,7,0.0520231213872832,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.3,1.8,1.03893599581698,1.00313920703336,0.510948905109489,69,0.933333333333333,7,0.0520231213872832,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.3,1.9,1.03893599581698,1.00313920703336,0.518248175182482,69,0.946666666666667,7,0.0520231213872832,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.3,2,1.03893599581698,1.00313920703336,0.532846715328467,69,0.973333333333333,7,0.0520231213872832,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.3,2.1,1.03893599581698,1.00313920703336,0.532846715328467,69,0.973333333333333,7,0.0520231213872832,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.3,2.2,1.03893599581698,1.00313920703336,0.532846715328467,69,0.973333333333333,7,0.0520231213872832,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.3,2.3,1.03893599581698,1.00313920703336,0.532846715328467,69,0.973333333333333,7,0.0520231213872832,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.3,2.4,1.03893599581698,1.00313920703336,0.532846715328467,69,0.973333333333333,7,0.0520231213872832,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.3,2.5,1.03893599581698,1.00313920703336,0.532846715328467,69,0.973333333333333,7,0.0520231213872832,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.3,2.6,1.03893599581698,1.00313920703336,0.532846715328467,69,0.973333333333333,7,0.0520231213872832,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.3,2.7,1.03893599581698,1.00313920703336,0.532846715328467,69,0.973333333333333,7,0.0520231213872832,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.3,2.8,1.03893599581698,1.00313920703336,0.532846715328467,69,0.973333333333333,7,0.0520231213872832,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.3,2.9,1.03893599581698,1.00313920703336,0.532846715328467,69,0.973333333333333,7,0.0520231213872832,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.3,3,1.03893599581698,1.00313920703336,0.54014598540146,68,0.986666666666667,6,0.0520231213872832,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.4,1,1.03340911091325,1.00368127544684,0.0072992700729927,NA,0.0133333333333333,NA,0.0491329479768786,NA,NA,NA,NA,64,TRUE,TRUE,TRUE,4
