"pobs_2","pscale","lambda_con","kappa_con","proportion","date_first","proportion_after_wavesplit","date_first_after_wavesplit","proportion_before_ft","date_first_above_10","date_first_above_5","date_first_below_10","date_first_below_5","index_i","converges","below_5","below_10","index_column"
0.1,1.9,1.02670769258077,1.00007907669963,0.532846715328467,69,0.973333333333333,7,0.0491329479768786,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,2,1.02670769258077,1.00007907669963,0.532846715328467,69,0.973333333333333,7,0.0491329479768786,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,2.1,1.02670769258077,1.00007907669963,0.532846715328467,69,0.973333333333333,7,0.0491329479768786,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,2.2,1.02670769258077,1.00007907669963,0.532846715328467,69,0.973333333333333,7,0.0491329479768786,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,2.3,1.02670769258077,1.00007907669963,0.532846715328467,69,0.973333333333333,7,0.0491329479768786,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,2.4,1.02670769258077,1.00007907669963,0.532846715328467,69,0.973333333333333,7,0.0491329479768786,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,1,1.02670769258077,1.00007907669963,0.0072992700729927,NA,0.0133333333333333,NA,0.0491329479768786,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,1.1,1.02670769258077,1.00007907669963,0.0510948905109489,NA,0.0933333333333333,NA,0.0491329479768786,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,1.2,1.02670769258077,1.00007907669963,0.167883211678832,71,0.306666666666667,9,0.0491329479768786,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,1.3,1.02670769258077,1.00007907669963,0.233576642335766,71,0.426666666666667,9,0.0491329479768786,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,1.4,1.02670769258077,1.00007907669963,0.37956204379562,69,0.693333333333333,7,0.0491329479768786,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,1.5,1.02670769258077,1.00007907669963,0.452554744525547,69,0.826666666666667,7,0.0491329479768786,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,1.6,1.02670769258077,1.00007907669963,0.489051094890511,69,0.893333333333333,7,0.0491329479768786,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,1.7,1.02670769258077,1.00007907669963,0.518248175182482,69,0.946666666666667,7,0.0491329479768786,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,1.8,1.02670769258077,1.00007907669963,0.532846715328467,69,0.973333333333333,7,0.0491329479768786,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,2.5,1.02670769258077,1.00007907669963,0.532846715328467,69,0.973333333333333,7,0.0491329479768786,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,2.6,1.02670769258077,1.00007907669963,0.54014598540146,68,0.986666666666667,6,0.0491329479768786,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,2.7,1.02670769258077,1.00007907669963,0.54014598540146,68,0.986666666666667,6,0.0491329479768786,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
