"pobs_2","pscale","lambda_con","kappa_con","proportion","date_first","proportion_after_wavesplit","date_first_after_wavesplit","proportion_before_ft","date_first_above_10","date_first_above_5","date_first_below_10","date_first_below_5","index_i","converges","below_5","below_10","index_column"
0.1,1.9,1.02063583693195,1.00125346518555,0.532846715328467,69,0.973333333333333,7,0.0520231213872832,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,2,1.02063583693195,1.00125346518555,0.532846715328467,69,0.973333333333333,7,0.0520231213872832,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,2.1,1.02063583693195,1.00125346518555,0.532846715328467,69,0.973333333333333,7,0.0520231213872832,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,2.2,1.02063583693195,1.00125346518555,0.532846715328467,69,0.973333333333333,7,0.0520231213872832,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,2.3,1.02063583693195,1.00125346518555,0.532846715328467,69,0.973333333333333,7,0.0520231213872832,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,2.4,1.02063583693195,1.00125346518555,0.532846715328467,69,0.973333333333333,7,0.0520231213872832,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,2.5,1.02063583693195,1.00125346518555,0.532846715328467,69,0.973333333333333,7,0.0520231213872832,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,2.6,1.02063583693195,1.00125346518555,0.532846715328467,69,0.973333333333333,7,0.0520231213872832,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,2.8,1.02063583693195,1.00125346518555,0.532846715328467,69,0.973333333333333,7,0.0520231213872832,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,1,1.02063583693195,1.00125346518555,0.0072992700729927,NA,0.0133333333333333,NA,0.0520231213872832,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,2.9,1.02063583693195,1.00125346518555,0.54014598540146,68,0.986666666666667,6,0.0520231213872832,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,3,1.02063583693195,1.00125346518555,0.54014598540146,68,0.986666666666667,6,0.0520231213872832,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,1.3,1.02063583693195,1.00125346518555,0.182481751824818,71,0.333333333333333,9,0.0520231213872832,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,1.4,1.02063583693195,1.00125346518555,0.335766423357664,69,0.613333333333333,7,0.0520231213872832,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,1.5,1.02063583693195,1.00125346518555,0.408759124087591,69,0.746666666666667,7,0.0520231213872832,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,1.1,1.02063583693195,1.00125346518555,0.0291970802919708,NA,0.0533333333333333,NA,0.0520231213872832,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,1.7,1.02063583693195,1.00125346518555,0.503649635036496,69,0.92,7,0.0520231213872832,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,1.8,1.02063583693195,1.00125346518555,0.518248175182482,69,0.946666666666667,7,0.0520231213872832,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,2.7,1.02063583693195,1.00125346518555,0.532846715328467,69,0.973333333333333,7,0.0520231213872832,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,1.6,1.02063583693195,1.00125346518555,0.474452554744526,69,0.866666666666667,7,0.0520231213872832,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.1,1.2,1.02063583693195,1.00125346518555,0.116788321167883,71,0.213333333333333,9,0.0520231213872832,NA,NA,NA,NA,1,TRUE,TRUE,TRUE,1
0.2,1,1.03495160148637,1.0013953907427,0.0072992700729927,NA,0.0133333333333333,NA,0.0606936416184971,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,1.1,1.03495160148637,1.0013953907427,0.0437956204379562,NA,0.08,NA,0.0606936416184971,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,1.5,1.03495160148637,1.0013953907427,0.416058394160584,69,0.76,7,0.0606936416184971,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,2.9,1.03495160148637,1.0013953907427,0.54014598540146,68,0.986666666666667,6,0.0606936416184971,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,3,1.03495160148637,1.0013953907427,0.54014598540146,68,0.986666666666667,6,0.0606936416184971,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,1.6,1.03495160148637,1.0013953907427,0.481751824817518,69,0.88,7,0.0606936416184971,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,1.7,1.03495160148637,1.0013953907427,0.503649635036496,69,0.92,7,0.0606936416184971,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,2.1,1.03495160148637,1.0013953907427,0.532846715328467,69,0.973333333333333,7,0.0606936416184971,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,1.8,1.03495160148637,1.0013953907427,0.518248175182482,69,0.946666666666667,7,0.0606936416184971,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,1.9,1.03495160148637,1.0013953907427,0.532846715328467,69,0.973333333333333,7,0.0606936416184971,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,2,1.03495160148637,1.0013953907427,0.532846715328467,69,0.973333333333333,7,0.0606936416184971,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,2.2,1.03495160148637,1.0013953907427,0.532846715328467,69,0.973333333333333,7,0.0606936416184971,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,2.3,1.03495160148637,1.0013953907427,0.532846715328467,69,0.973333333333333,7,0.0606936416184971,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,2.6,1.03495160148637,1.0013953907427,0.532846715328467,69,0.973333333333333,7,0.0606936416184971,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,2.7,1.03495160148637,1.0013953907427,0.532846715328467,69,0.973333333333333,7,0.0606936416184971,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,1.2,1.03495160148637,1.0013953907427,0.124087591240876,71,0.226666666666667,9,0.0606936416184971,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.2,1.3,1.03495160148637,1.0013953907427,0.18978102189781,71,0.346666666666667,9,0.0606936416184971,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
