"pscale","lambda_con","kappa_con","proportion","date_first","proportion_after_wavesplit","date_first_after_wavesplit","seed","date_first_below_10","date_first_below_5","date_first_above_5","date_first_above_10","converges"
1.9,1.02007453900898,1.00258556345484,0.503649635036496,69,0.92,7,14,NA,NA,NA,NA,TRUE
2,1.02007453900898,1.00258556345484,0.518248175182482,69,0.946666666666667,7,14,NA,NA,NA,NA,TRUE
2.1,1.02007453900898,1.00258556345484,0.532846715328467,69,0.973333333333333,7,14,NA,NA,NA,NA,TRUE
2.2,1.02007453900898,1.00258556345484,0.532846715328467,69,0.973333333333333,7,14,NA,NA,NA,NA,TRUE
2.3,1.02007453900898,1.00258556345484,0.532846715328467,69,0.973333333333333,7,14,NA,NA,NA,NA,TRUE
2.4,1.02007453900898,1.00258556345484,0.532846715328467,69,0.973333333333333,7,14,NA,NA,NA,NA,TRUE
2.5,1.02007453900898,1.00258556345484,0.532846715328467,69,0.973333333333333,7,14,NA,NA,NA,NA,TRUE
2.6,1.02007453900898,1.00258556345484,0.532846715328467,69,0.973333333333333,7,14,NA,NA,NA,NA,TRUE
2.7,1.02007453900898,1.00258556345484,0.532846715328467,69,0.973333333333333,7,14,NA,NA,NA,NA,TRUE
2.8,1.02007453900898,1.00258556345484,0.532846715328467,69,0.973333333333333,7,14,NA,NA,NA,NA,TRUE
1,1.02007453900898,1.00258556345484,0.0072992700729927,NA,0.0133333333333333,NA,14,NA,NA,NA,NA,TRUE
2.9,1.02007453900898,1.00258556345484,0.532846715328467,69,0.973333333333333,7,14,NA,NA,NA,NA,TRUE
3,1.02007453900898,1.00258556345484,0.532846715328467,69,0.973333333333333,7,14,NA,NA,NA,NA,TRUE
1.1,1.02007453900898,1.00258556345484,0.0072992700729927,NA,0.0133333333333333,NA,14,NA,NA,NA,NA,TRUE
1.2,1.02007453900898,1.00258556345484,0.0656934306569343,129,0.12,67,14,NA,NA,NA,NA,TRUE
1.3,1.02007453900898,1.00258556345484,0.153284671532847,71,0.28,9,14,NA,NA,NA,NA,TRUE
1.4,1.02007453900898,1.00258556345484,0.211678832116788,71,0.386666666666667,9,14,NA,NA,NA,NA,TRUE
1.5,1.02007453900898,1.00258556345484,0.335766423357664,69,0.613333333333333,7,14,NA,NA,NA,NA,TRUE
1.6,1.02007453900898,1.00258556345484,0.386861313868613,69,0.706666666666667,7,14,NA,NA,NA,NA,TRUE
1.7,1.02007453900898,1.00258556345484,0.437956204379562,69,0.8,7,14,NA,NA,NA,NA,TRUE
1.8,1.02007453900898,1.00258556345484,0.489051094890511,69,0.893333333333333,7,14,NA,NA,NA,NA,TRUE
