"pobs_1_min","pobs_1_max","pobs_2_min","pobs_2_max","steep","xm","pscale","lambda_con","kappa_con","proportion_before_ft","date_first_above_10","date_first_above_5","date_first_below_10","date_first_below_5","date_first_below_10_aw","date_first_below_5_aw","date_first_above_5_aw","date_first_above_10_aw","proportion_above","proportion_below","proportion_outside","converges","below_5","below_10","index_column"
0.1,0.2,0.1,0.2,5e-05,30000,1,1.26013833424114,1.90848601085914,0.0751445086705202,NA,245,NA,NA,NA,NA,8,NA,0.186666666666667,0.0133333333333333,0.2,FALSE,TRUE,TRUE,1
0.1,0.2,0.1,0.2,5e-05,40000,1,1.02889245448171,1.33576919306769,0.0867052023121387,NA,270,NA,NA,NA,73,9,NA,0.306666666666667,0.0933333333333333,0.4,FALSE,TRUE,TRUE,2
0.1,0.2,0.1,0.2,5e-05,50000,1,1.04710477376164,1.00614576422097,0.0549132947976879,NA,NA,NA,NA,NA,NA,33,NA,0.16,0.0666666666666667,0.226666666666667,TRUE,TRUE,TRUE,3
0.1,0.2,0.1,0.3,5e-05,30000,1,1.06894687297382,1.0056220606298,0.0982658959537572,NA,245,305,300,NA,74,8,NA,0.16,0.106666666666667,0.266666666666667,TRUE,FALSE,FALSE,4
0.1,0.2,0.1,0.3,5e-05,40000,1,1.03846103635636,1.00457576097212,0.0953757225433526,NA,NA,NA,304,NA,71,9,NA,0.266666666666667,0.12,0.386666666666667,TRUE,FALSE,TRUE,5
0.1,0.2,0.1,0.3,5e-05,50000,1,1.04446040962406,1.00364955013222,0.0838150289017341,NA,NA,307,302,75,70,9,NA,0.186666666666667,0.133333333333333,0.32,TRUE,FALSE,FALSE,6
0.1,0.3,0.1,0.3,5e-05,30000,1,1.03502353901392,1.003150726954,0.0953757225433526,NA,240,307,302,NA,71,6,NA,0.173333333333333,0.12,0.293333333333333,TRUE,FALSE,FALSE,7
0.1,0.3,0.1,0.3,5e-05,40000,1,1.03153886167969,1.00289641964517,0.101156069364162,NA,NA,301,296,74,69,7,NA,0.16,0.146666666666667,0.306666666666667,TRUE,FALSE,FALSE,8
0.1,0.3,0.1,0.3,5e-05,50000,1,1.03690390775057,1.00287564898867,0.104046242774566,NA,NA,303,298,70,65,NA,NA,0.08,0.2,0.28,TRUE,FALSE,FALSE,9
0.1,0.2,0.2,0.3,5e-05,30000,1,1.0359941095999,1.00489761288717,0.0491329479768786,NA,NA,NA,NA,NA,NA,9,NA,0.106666666666667,0,0.106666666666667,TRUE,TRUE,TRUE,10
0.1,0.2,0.2,0.3,5e-05,40000,1,1.02569540257859,1.00228565434326,0.0578034682080925,NA,NA,NA,NA,NA,NA,9,NA,0.173333333333333,0.04,0.213333333333333,TRUE,TRUE,TRUE,11
0.1,0.2,0.2,0.3,5e-05,50000,1,1.0237529767032,1.00373686533339,0.0491329479768786,NA,NA,NA,NA,NA,NA,33,NA,0.12,0,0.12,TRUE,TRUE,TRUE,12
0.1,0.3,0.2,0.3,5e-05,30000,1,1.02585722266103,1.00504832815263,0.069364161849711,NA,240,NA,NA,NA,NA,NA,NA,0.0533333333333333,0.0533333333333333,0.106666666666667,TRUE,TRUE,TRUE,13
0.1,0.3,0.2,0.3,5e-05,40000,1,1.02876977123192,1.0015422233808,0.069364161849711,NA,NA,NA,306,NA,NA,7,NA,0.2,0,0.2,TRUE,FALSE,TRUE,14
0.1,0.3,0.2,0.3,5e-05,50000,1,1.0304094192754,1.00261733278962,0.0578034682080925,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.0133333333333333,0.0533333333333333,TRUE,TRUE,TRUE,15
