"pobs_1_min","pobs_1_max","pobs_2_min","pobs_2_max","steep","xm","pscale","lambda_con","kappa_con","proportion_before_ft","date_first_above_10","date_first_above_5","date_first_below_10","date_first_below_5","date_first_below_10_aw","date_first_below_5_aw","date_first_above_5_aw","date_first_above_10_aw","proportion_above","proportion_below","proportion_outside","converges","below_5","below_10","index_column"
0.1,0.2,0.1,0.2,5e-05,30000,1,1.02961222380444,1.3268324019343,0.0635838150289017,NA,NA,NA,305,NA,73,7,38,0.373333333333333,0.133333333333333,0.506666666666667,FALSE,FALSE,TRUE,1
0.1,0.2,0.1,0.2,5e-05,40000,1,1.02587386606275,1.33175080823298,0.0982658959537572,NA,159,NA,306,NA,74,7,31,0.32,0.08,0.4,FALSE,FALSE,TRUE,2
0.1,0.2,0.1,0.2,5e-05,50000,1,1.19287321774678,1.72439144635652,0.0722543352601156,NA,NA,NA,304,NA,74,7,30,0.28,0.08,0.36,FALSE,FALSE,TRUE,3
0.1,0.2,0.1,0.3,5e-05,30000,1,1.05299155354079,1.00823682488773,0.0664739884393064,NA,NA,NA,304,NA,71,7,NA,0.253333333333333,0.173333333333333,0.426666666666667,TRUE,FALSE,TRUE,4
0.1,0.2,0.1,0.3,5e-05,40000,1,1.05373539299476,1.01051328049773,0.101156069364162,NA,NA,303,298,NA,71,7,31,0.293333333333333,0.16,0.453333333333333,TRUE,FALSE,FALSE,5
0.1,0.2,0.1,0.3,5e-05,50000,1,1.03046924635264,1.00267725569376,0.106936416184971,NA,NA,302,297,74,69,7,30,0.28,0.16,0.44,TRUE,FALSE,FALSE,6
0.1,0.3,0.1,0.3,5e-05,30000,1,1.02335284787284,1.00329838675592,0.0838150289017341,NA,NA,305,300,70,65,9,14,0.333333333333333,0.2,0.533333333333333,TRUE,FALSE,FALSE,7
0.1,0.3,0.1,0.3,5e-05,40000,1,1.02557767905773,1.00208019091057,0.115606936416185,NA,267,301,296,67,62,5,10,0.173333333333333,0.24,0.413333333333333,TRUE,FALSE,FALSE,8
0.1,0.3,0.1,0.3,5e-05,50000,1,1.02738813785883,1.00404866508919,0.101156069364162,NA,260,302,297,73,68,5,NA,0.226666666666667,0.16,0.386666666666667,TRUE,FALSE,FALSE,9
0.1,0.2,0.2,0.3,5e-05,30000,1,1.04581349973578,1.00786264067697,0.046242774566474,NA,NA,NA,NA,NA,NA,33,NA,0.173333333333333,0.0533333333333333,0.226666666666667,TRUE,TRUE,TRUE,10
0.1,0.2,0.2,0.3,5e-05,40000,1,1.02826489177889,1.00256888627671,0.0780346820809249,NA,NA,NA,NA,NA,NA,7,32,0.24,0.0533333333333333,0.293333333333333,TRUE,TRUE,TRUE,11
0.1,0.2,0.2,0.3,5e-05,50000,1,1.02588106467076,1.00399845182763,0.0606936416184971,NA,NA,NA,NA,NA,NA,7,32,0.253333333333333,0.04,0.293333333333333,TRUE,TRUE,TRUE,12
0.1,0.3,0.2,0.3,5e-05,30000,1,1.01273668809798,1.00321978564876,0.0549132947976879,NA,NA,NA,306,NA,74,13,NA,0.173333333333333,0.08,0.253333333333333,TRUE,FALSE,TRUE,13
0.1,0.3,0.2,0.3,5e-05,40000,1,1.02281151913659,1.00342679084048,0.046242774566474,NA,NA,NA,NA,NA,NA,5,10,0.173333333333333,0.0666666666666667,0.24,TRUE,TRUE,TRUE,14
0.1,0.3,0.2,0.3,5e-05,50000,1,1.02565170225995,1.00248716279782,0.0578034682080925,NA,NA,NA,NA,NA,NA,7,NA,0.146666666666667,0.0533333333333333,0.2,TRUE,TRUE,TRUE,15
0.2,0.3,0.2,0.3,5e-05,30000,1,1.03328914892013,1.00501134510947,0.0780346820809249,NA,NA,NA,308,NA,NA,9,NA,0.08,0,0.08,TRUE,FALSE,TRUE,16
0.2,0.3,0.2,0.3,5e-05,40000,1,1.03299047231474,1.0027907688649,0.0751445086705202,NA,NA,NA,306,NA,NA,NA,NA,0.0133333333333333,0.04,0.0533333333333333,TRUE,FALSE,TRUE,17
0.2,0.3,0.2,0.3,5e-05,50000,1,1.02369424190914,1.00421039683449,0.069364161849711,NA,NA,NA,308,NA,NA,9,NA,0.08,0.0666666666666667,0.146666666666667,TRUE,FALSE,TRUE,18
0.1,0.2,0.1,0.4,5e-05,30000,1,1.04543213000794,1.00505775003364,0.0780346820809249,NA,NA,307,302,74,59,7,NA,0.226666666666667,0.253333333333333,0.48,TRUE,FALSE,FALSE,19
0.1,0.2,0.1,0.4,5e-05,40000,1,1.03548445393372,1.00359951363313,0.11849710982659,NA,NA,302,297,70,65,7,31,0.28,0.213333333333333,0.493333333333333,TRUE,FALSE,FALSE,20
0.1,0.2,0.1,0.4,5e-05,50000,1,1.06841561277065,1.00628886786956,0.130057803468208,NA,213,301,296,71,66,7,30,0.266666666666667,0.186666666666667,0.453333333333333,TRUE,FALSE,FALSE,21
0.1,0.3,0.1,0.4,5e-05,30000,1,1.04470911725841,1.00721454473159,0.106936416184971,NA,NA,301,296,64,59,9,14,0.32,0.306666666666667,0.626666666666667,TRUE,FALSE,FALSE,22
0.1,0.3,0.1,0.4,5e-05,40000,1,1.0321111504528,1.00483792923499,0.124277456647399,NA,NA,299,294,65,60,5,10,0.173333333333333,0.266666666666667,0.44,TRUE,FALSE,FALSE,23
0.1,0.3,0.1,0.4,5e-05,50000,1,1.05578063950971,1.00385427936725,0.130057803468208,NA,213,300,295,71,66,7,NA,0.146666666666667,0.186666666666667,0.333333333333333,TRUE,FALSE,FALSE,24
0.1,0.4,0.1,0.4,5e-05,30000,1,1.04180632370425,1.00434205796082,0.127167630057803,NA,NA,301,296,63,58,6,NA,0.12,0.293333333333333,0.413333333333333,TRUE,FALSE,FALSE,25
0.1,0.4,0.1,0.4,5e-05,40000,1,1.02918251775674,1.003741998002,0.11271676300578,NA,NA,298,293,63,58,7,NA,0.12,0.293333333333333,0.413333333333333,TRUE,FALSE,FALSE,26
0.1,0.4,0.1,0.4,5e-05,50000,1,1.01802080024058,1.00179933151513,0.104046242774566,NA,NA,300,295,70,65,NA,NA,0.0533333333333333,0.2,0.253333333333333,TRUE,FALSE,FALSE,27
0.1,0.2,0.2,0.4,5e-05,30000,1,1.03118969935322,1.00496252774736,0.0578034682080925,NA,NA,NA,305,NA,74,7,NA,0.226666666666667,0.08,0.306666666666667,TRUE,FALSE,TRUE,28
0.1,0.2,0.2,0.4,5e-05,40000,1,1.01739438598666,1.00440335305286,0.106936416184971,NA,214,NA,305,NA,72,7,32,0.266666666666667,0.12,0.386666666666667,TRUE,FALSE,TRUE,29
0.1,0.2,0.2,0.4,5e-05,50000,1,1.01779231882106,1.00366633470358,0.0838150289017341,NA,NA,NA,304,NA,72,7,NA,0.2,0.106666666666667,0.306666666666667,TRUE,FALSE,TRUE,30
0.1,0.3,0.2,0.4,5e-05,30000,1,1.02621200897,1.00338595602128,0.0751445086705202,NA,NA,NA,304,NA,74,11,NA,0.266666666666667,0.08,0.346666666666667,TRUE,FALSE,TRUE,31
0.1,0.3,0.2,0.4,5e-05,40000,1,1.02890761446646,1.00280399558985,0.0838150289017341,NA,NA,NA,305,75,70,5,NA,0.226666666666667,0.133333333333333,0.36,TRUE,FALSE,TRUE,32
0.1,0.3,0.2,0.4,5e-05,50000,1,1.01362459568794,1.00222619073923,0.0895953757225433,NA,NA,307,302,NA,72,9,NA,0.106666666666667,0.106666666666667,0.213333333333333,TRUE,FALSE,FALSE,33
0.2,0.3,0.2,0.4,5e-05,30000,1,1.01744107949837,1.00184189190158,0.0867052023121387,NA,NA,309,304,NA,74,NA,NA,0.04,0.08,0.12,TRUE,FALSE,FALSE,34
0.2,0.3,0.2,0.4,5e-05,40000,1,1.02678112770447,1.0047839426295,0.0982658959537572,NA,NA,309,304,NA,74,9,NA,0.0933333333333333,0.08,0.173333333333333,TRUE,FALSE,FALSE,35
0.2,0.3,0.2,0.4,5e-05,50000,1,1.04200361399913,1.00549891951228,0.069364161849711,NA,NA,307,302,NA,73,9,NA,0.08,0.0933333333333333,0.173333333333333,TRUE,FALSE,FALSE,36
0.1,0.4,0.2,0.4,5e-05,30000,1,1.01638315583672,1.00417467923173,0.0953757225433526,NA,NA,309,304,NA,72,NA,NA,0.0666666666666667,0.173333333333333,0.24,TRUE,FALSE,FALSE,37
0.1,0.4,0.2,0.4,5e-05,40000,1,1.007699959345,1.00237966660484,0.0867052023121387,NA,NA,302,297,75,70,9,NA,0.0933333333333333,0.133333333333333,0.226666666666667,TRUE,FALSE,FALSE,38
0.1,0.4,0.2,0.4,5e-05,50000,1,1.01649789256246,1.00419627419894,0.0780346820809249,NA,NA,304,299,71,66,9,NA,0.0933333333333333,0.186666666666667,0.28,TRUE,FALSE,FALSE,39
0.2,0.4,0.2,0.4,5e-05,30000,1,1.01443221802171,1.00390273178584,0.0809248554913295,NA,NA,310,305,NA,74,7,NA,0.106666666666667,0.08,0.186666666666667,TRUE,FALSE,FALSE,40
0.2,0.4,0.2,0.4,5e-05,40000,1,1.02734397625311,1.00329790726957,0.101156069364162,NA,NA,309,304,NA,73,9,NA,0.12,0.0933333333333333,0.213333333333333,TRUE,FALSE,FALSE,41
0.2,0.4,0.2,0.4,5e-05,50000,1,1.0124102971652,1.00137818802223,0.0895953757225433,NA,NA,307,302,NA,72,9,NA,0.12,0.106666666666667,0.226666666666667,TRUE,FALSE,FALSE,42
0.1,0.2,0.3,0.4,5e-05,30000,1,1.03310386608408,1.0037376488596,0.046242774566474,NA,NA,NA,NA,NA,NA,31,NA,0.2,0.0266666666666667,0.226666666666667,TRUE,TRUE,TRUE,43
0.1,0.2,0.3,0.4,5e-05,40000,1,1.02329085069784,1.0032613336845,0.0664739884393064,NA,NA,NA,NA,NA,NA,NA,NA,0.0933333333333333,0,0.0933333333333333,TRUE,TRUE,TRUE,44
0.1,0.2,0.3,0.4,5e-05,50000,1,1.01619482942066,1.0015651040347,0.0578034682080925,NA,NA,NA,305,NA,NA,32,NA,0.173333333333333,0.0133333333333333,0.186666666666667,TRUE,FALSE,TRUE,45
0.1,0.3,0.3,0.4,5e-05,30000,1,1.017166944563,1.00277165978232,0.0433526011560694,NA,NA,NA,NA,NA,NA,7,NA,0.106666666666667,0,0.106666666666667,TRUE,TRUE,TRUE,46
0.1,0.3,0.3,0.4,5e-05,40000,1,1.01828778351288,1.00153339770745,0.0549132947976879,NA,NA,NA,306,NA,NA,NA,NA,0.0266666666666667,0.0266666666666667,0.0533333333333333,TRUE,FALSE,TRUE,47
0.1,0.3,0.3,0.4,5e-05,50000,1,1.010490966578,1.00267873021132,0.0549132947976879,NA,NA,NA,NA,NA,NA,9,NA,0.0666666666666667,0,0.0666666666666667,TRUE,TRUE,TRUE,48
0.2,0.3,0.3,0.4,5e-05,30000,1,1.02377854176581,1.00230595323694,0.0549132947976879,NA,NA,NA,308,NA,NA,NA,NA,0.0266666666666667,0,0.0266666666666667,TRUE,FALSE,TRUE,49
0.2,0.3,0.3,0.4,5e-05,40000,1,1.019422616782,1.00133366532195,0.0606936416184971,NA,NA,NA,308,NA,NA,NA,NA,0.0533333333333333,0.0266666666666667,0.08,TRUE,FALSE,TRUE,50
0.2,0.3,0.3,0.4,5e-05,50000,1,1.01861155600335,1.00295451942054,0.0346820809248555,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0,0.04,TRUE,TRUE,TRUE,51
0.1,0.4,0.3,0.4,5e-05,30000,1,1.01605507449773,1.00378480456486,0.0404624277456647,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.0266666666666667,0.0666666666666667,TRUE,TRUE,TRUE,52
0.1,0.4,0.3,0.4,5e-05,40000,1,1.00678566910299,1.00206144206938,0.0404624277456647,NA,NA,NA,NA,NA,NA,NA,NA,0.0533333333333333,0,0.0533333333333333,TRUE,TRUE,TRUE,53
0.1,0.4,0.3,0.4,5e-05,50000,1,1.00864171218781,1.00205327113036,0.0433526011560694,NA,NA,NA,NA,NA,NA,9,NA,0.08,0,0.08,TRUE,TRUE,TRUE,54
0.2,0.4,0.3,0.4,5e-05,30000,1,1.01270120586787,1.00246846724102,0.0578034682080925,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.0133333333333333,0.0533333333333333,TRUE,TRUE,TRUE,55
0.2,0.4,0.3,0.4,5e-05,40000,1,1.01312527241479,1.00076267924246,0.046242774566474,NA,NA,NA,NA,NA,NA,NA,NA,0.0533333333333333,0.0266666666666667,0.08,TRUE,TRUE,TRUE,56
0.2,0.4,0.3,0.4,5e-05,50000,1,1.00889597105818,1.00257199021571,0.046242774566474,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.0133333333333333,0.0933333333333333,TRUE,TRUE,TRUE,57
0.3,0.4,0.3,0.4,5e-05,30000,1,1.01052046681466,1.00249983616046,0.0520231213872832,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0,0.04,TRUE,TRUE,TRUE,58
0.3,0.4,0.3,0.4,5e-05,40000,1,1.02306536345569,1.00120790634686,0.0606936416184971,NA,NA,NA,NA,NA,NA,NA,NA,0.0533333333333333,0,0.0533333333333333,TRUE,TRUE,TRUE,59
0.3,0.4,0.3,0.4,5e-05,50000,1,1.02369165407471,1.00239376188074,0.0578034682080925,NA,NA,NA,NA,NA,NA,NA,NA,0.0266666666666667,0,0.0266666666666667,TRUE,TRUE,TRUE,60
