"pobs_1_min","pobs_1_max","pobs_2_min","pobs_2_max","steep","xm","pscale","lambda_con","kappa_con","proportion_before_ft","date_first_above_10","date_first_above_5","date_first_below_10","date_first_below_5","date_first_below_10_aw","date_first_below_5_aw","date_first_above_5_aw","date_first_above_10_aw","proportion_above","proportion_below","proportion_outside","converges","below_5","below_10","index_column"
0.1,0.2,0.1,0.2,5e-05,30000,1,1.03330685112428,1.31744016920637,0.0635838150289017,NA,NA,NA,NA,NA,74,NA,NA,0.133333333333333,0.08,0.213333333333333,FALSE,TRUE,TRUE,1
0.1,0.2,0.1,0.2,5e-05,40000,1,1.20445139280826,1.80653227444255,0.0751445086705202,NA,NA,NA,304,NA,NA,9,NA,0.0933333333333333,0.0666666666666667,0.16,FALSE,FALSE,TRUE,2
0.1,0.2,0.1,0.2,5e-05,50000,1,1.07562091839958,1.00488066092778,0.0751445086705202,NA,NA,NA,305,NA,NA,NA,NA,0.0133333333333333,0.0266666666666667,0.04,TRUE,FALSE,TRUE,3
0.1,0.2,0.1,0.3,5e-05,30000,1,1.02969131222356,1.31436360786111,0.115606936416185,NA,341,NA,295,71,66,5,NA,0.333333333333333,0.2,0.533333333333333,FALSE,FALSE,TRUE,4
0.1,0.2,0.1,0.3,5e-05,40000,1,1.03324682211383,1.00501749771338,0.0953757225433526,NA,NA,305,300,74,69,7,NA,0.146666666666667,0.146666666666667,0.293333333333333,TRUE,FALSE,FALSE,5
0.1,0.2,0.1,0.3,5e-05,50000,1,1.07258015740616,1.00439193361598,0.0895953757225433,NA,NA,307,302,75,70,NA,NA,0.04,0.133333333333333,0.173333333333333,TRUE,FALSE,FALSE,6
0.1,0.3,0.1,0.3,5e-05,30000,1,1.04066939516395,1.00556610713505,0.124277456647399,NA,NA,305,300,NA,71,9,NA,0.08,0.16,0.24,TRUE,FALSE,FALSE,7
0.1,0.3,0.1,0.3,5e-05,40000,1,1.02920265447983,1.00405127830181,0.106936416184971,NA,NA,302,297,73,68,NA,NA,0.04,0.16,0.2,TRUE,FALSE,FALSE,8
0.1,0.3,0.1,0.3,5e-05,50000,1,1.03359203855775,1.00357302860362,0.109826589595376,NA,243,300,295,73,68,9,NA,0.08,0.16,0.24,TRUE,FALSE,FALSE,9
0.1,0.2,0.2,0.3,5e-05,30000,1,1.05197749039426,1.90439347355278,0.0578034682080925,NA,NA,NA,NA,NA,NA,NA,NA,0.106666666666667,0.0533333333333333,0.16,FALSE,TRUE,TRUE,10
