"pobs_1_min","pobs_1_max","pobs_2_min","pobs_2_max","steep","xm","pscale","lambda_con","kappa_con","proportion_before_ft","date_first_above_10","date_first_above_5","date_first_below_10","date_first_below_5","date_first_below_10_aw","date_first_below_5_aw","date_first_above_5_aw","date_first_above_10_aw","proportion_above","proportion_below","proportion_outside","converges","below_5","below_10","index_column"
0.1,0.2,0.1,0.2,5e-05,30000,1,1.03377136329627,1.32758087826163,0.092485549132948,NA,181,NA,304,NA,73,NA,NA,0.146666666666667,0.0933333333333333,0.24,FALSE,FALSE,TRUE,1
0.1,0.2,0.1,0.2,5e-05,40000,1,1.07894050922155,1.00749061356951,0.0664739884393064,NA,NA,NA,NA,NA,NA,9,NA,0.0666666666666667,0.08,0.146666666666667,TRUE,TRUE,TRUE,2
0.1,0.2,0.1,0.2,5e-05,50000,1,1.05436291127377,1.00378181466825,0.0664739884393064,NA,NA,NA,305,NA,73,NA,NA,0.0266666666666667,0.0666666666666667,0.0933333333333333,TRUE,FALSE,TRUE,3
0.1,0.2,0.1,0.3,5e-05,30000,1,1.05458986030891,1.00658201996131,0.104046242774566,NA,NA,307,302,74,69,NA,NA,0.173333333333333,0.213333333333333,0.386666666666667,TRUE,FALSE,FALSE,4
0.1,0.2,0.1,0.3,5e-05,40000,1,1.04865929389914,1.00523425673661,0.0895953757225433,NA,NA,306,301,68,63,9,NA,0.0933333333333333,0.226666666666667,0.32,TRUE,FALSE,FALSE,5
0.1,0.2,0.1,0.3,5e-05,50000,1,1.04382950261387,1.00527222059948,0.0867052023121387,NA,NA,303,298,75,70,NA,NA,0.04,0.133333333333333,0.173333333333333,TRUE,FALSE,FALSE,6
0.1,0.3,0.1,0.3,5e-05,30000,1,1.06694644717685,1.00752449880269,0.135838150289017,NA,NA,303,298,NA,60,9,NA,0.08,0.2,0.28,TRUE,FALSE,FALSE,7
0.1,0.3,0.1,0.3,5e-05,40000,1,1.04446871526923,1.00274065901572,0.106936416184971,NA,NA,303,298,75,70,NA,NA,0.04,0.133333333333333,0.173333333333333,TRUE,FALSE,FALSE,8
0.1,0.3,0.1,0.3,5e-05,50000,1,1.06767913855396,1.00427117703478,0.121387283236994,NA,NA,300,295,74,69,NA,NA,0.0533333333333333,0.146666666666667,0.2,TRUE,FALSE,FALSE,9
0.1,0.2,0.2,0.3,5e-05,30000,1,1.04329161243153,1.00473629173974,0.0635838150289017,NA,NA,NA,NA,NA,NA,NA,NA,0.0133333333333333,0.04,0.0533333333333333,TRUE,TRUE,TRUE,10
