"pobs_1_min","pobs_1_max","pobs_2_min","pobs_2_max","steep","xm","pscale","lambda_con","kappa_con","proportion_before_ft","date_first_above_10","date_first_above_5","date_first_below_10","date_first_below_5","date_first_below_10_aw","date_first_below_5_aw","date_first_above_5_aw","date_first_above_10_aw","proportion_above","proportion_below","proportion_outside","converges","below_5","below_10","index_column"
0.1,0.2,0.1,0.2,5e-05,30000,1,1.04284734481359,1.00610665381128,0.0953757225433526,NA,NA,NA,320,NA,75,9,NA,0.133333333333333,0.0666666666666667,0.2,TRUE,FALSE,TRUE,1
0.1,0.2,0.1,0.2,5e-05,40000,1,1.02784523457378,1.32542583226857,0.104046242774566,NA,NA,309,304,NA,74,9,NA,0.293333333333333,0.08,0.373333333333333,FALSE,FALSE,FALSE,2
0.1,0.2,0.1,0.2,5e-05,50000,1,1.04299080162803,1.0067622912914,0.092485549132948,NA,NA,308,303,NA,73,NA,NA,0.08,0.0933333333333333,0.173333333333333,TRUE,FALSE,FALSE,3
0.1,0.2,0.1,0.3,5e-05,30000,1,1.06029563188382,1.00856526530812,0.141618497109827,NA,NA,305,300,NA,73,9,NA,0.173333333333333,0.0933333333333333,0.266666666666667,TRUE,FALSE,FALSE,4
0.1,0.2,0.1,0.3,5e-05,40000,1,1.03549057559964,1.00876688801829,0.11849710982659,NA,NA,307,302,NA,73,7,NA,0.253333333333333,0.0933333333333333,0.346666666666667,TRUE,FALSE,FALSE,5
0.1,0.2,0.1,0.3,5e-05,50000,1,1.0400604162056,1.00271659967324,0.104046242774566,NA,NA,304,299,NA,71,7,NA,0.12,0.12,0.24,TRUE,FALSE,FALSE,6
0.1,0.3,0.1,0.3,5e-05,30000,1,1.04252002162779,1.00654741704339,0.109826589595376,NA,212,303,298,NA,71,NA,NA,0.106666666666667,0.2,0.306666666666667,TRUE,FALSE,FALSE,7
0.1,0.3,0.1,0.3,5e-05,40000,1,1.05867514551199,1.00790112673992,0.104046242774566,NA,NA,305,300,75,70,9,NA,0.0933333333333333,0.16,0.253333333333333,TRUE,FALSE,FALSE,8
0.1,0.3,0.1,0.3,5e-05,50000,1,1.03441136626661,1.00265230796513,0.0982658959537572,NA,NA,NA,295,71,66,9,NA,0.133333333333333,0.186666666666667,0.32,TRUE,FALSE,TRUE,9
0.1,0.2,0.2,0.3,5e-05,30000,1,1.05441155644588,1.00436204347902,0.0867052023121387,NA,NA,NA,318,NA,NA,NA,NA,0.08,0.0133333333333333,0.0933333333333333,TRUE,FALSE,TRUE,10
0.1,0.2,0.2,0.3,5e-05,40000,1,1.04861832803398,1.00468802670865,0.092485549132948,NA,NA,NA,306,NA,NA,9,NA,0.106666666666667,0.0133333333333333,0.12,TRUE,FALSE,TRUE,11
0.1,0.2,0.2,0.3,5e-05,50000,1,1.03402168405062,1.00194665276008,0.0780346820809249,NA,NA,NA,308,NA,NA,NA,NA,0.0666666666666667,0.0133333333333333,0.08,TRUE,FALSE,TRUE,12
0.1,0.3,0.2,0.3,5e-05,30000,1,1.01593563918011,1.00250408671775,0.0780346820809249,NA,NA,NA,305,NA,NA,NA,NA,0.0533333333333333,0,0.0533333333333333,TRUE,FALSE,TRUE,13
0.1,0.3,0.2,0.3,5e-05,40000,1,1.02914715853971,1.00222072011666,0.0549132947976879,NA,NA,NA,NA,NA,NA,9,NA,0.0666666666666667,0,0.0666666666666667,TRUE,TRUE,TRUE,14
0.1,0.3,0.2,0.3,5e-05,50000,1,1.02073023700492,1.00278925569643,0.0751445086705202,NA,NA,NA,308,NA,NA,7,NA,0.133333333333333,0.04,0.173333333333333,TRUE,FALSE,TRUE,15
0.2,0.3,0.2,0.3,5e-05,30000,1,1.01860243286854,1.00292541003344,0.0809248554913295,NA,NA,NA,308,NA,NA,NA,NA,0.0133333333333333,0,0.0133333333333333,TRUE,FALSE,TRUE,16
0.2,0.3,0.2,0.3,5e-05,40000,1,1.0350145827314,1.00264769268696,0.0578034682080925,NA,NA,NA,308,NA,NA,NA,NA,0.04,0,0.04,TRUE,FALSE,TRUE,17
0.2,0.3,0.2,0.3,5e-05,50000,1,1.02647659055062,1.00191009314257,0.0664739884393064,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0133333333333333,0.0133333333333333,TRUE,TRUE,TRUE,18
0.1,0.2,0.1,0.4,5e-05,30000,1,1.0568877848412,1.00384454955676,0.135838150289017,NA,NA,304,299,74,60,9,NA,0.133333333333333,0.24,0.373333333333333,TRUE,FALSE,FALSE,19
0.1,0.2,0.1,0.4,5e-05,40000,1,1.05476852793327,1.00731896491346,0.147398843930636,NA,240,303,298,NA,71,7,NA,0.173333333333333,0.12,0.293333333333333,TRUE,FALSE,FALSE,20
0.1,0.2,0.1,0.4,5e-05,50000,1,1.04052919360571,1.00505004544128,0.109826589595376,NA,NA,303,298,74,69,7,NA,0.133333333333333,0.146666666666667,0.28,TRUE,FALSE,FALSE,21
0.1,0.3,0.1,0.4,5e-05,30000,1,1.06892481619372,1.00611292073191,0.124277456647399,NA,212,301,296,63,58,NA,NA,0.12,0.293333333333333,0.413333333333333,TRUE,FALSE,FALSE,22
0.1,0.3,0.1,0.4,5e-05,40000,1,1.03659338746294,1.00482083711747,0.121387283236994,NA,NA,303,298,73,68,9,NA,0.12,0.186666666666667,0.306666666666667,TRUE,FALSE,FALSE,23
0.1,0.3,0.1,0.4,5e-05,50000,1,1.04338767089594,1.00639244622376,0.115606936416185,NA,NA,298,293,71,66,7,NA,0.16,0.186666666666667,0.346666666666667,TRUE,FALSE,FALSE,24
0.1,0.4,0.1,0.4,5e-05,30000,1,1.03534347509193,1.00502513064543,0.15606936416185,NA,243,300,279,66,61,7,NA,0.106666666666667,0.253333333333333,0.36,TRUE,FALSE,FALSE,25
0.1,0.4,0.1,0.4,5e-05,40000,1,1.0274376263249,1.00224773647913,0.0982658959537572,NA,NA,300,295,70,65,9,NA,0.08,0.2,0.28,TRUE,FALSE,FALSE,26
0.1,0.4,0.1,0.4,5e-05,50000,1,1.02055850250291,1.00252020268163,0.132947976878613,NA,240,300,295,69,64,7,NA,0.0933333333333333,0.213333333333333,0.306666666666667,TRUE,FALSE,FALSE,27
0.1,0.2,0.2,0.4,5e-05,30000,1,1.03651211692584,1.00283477932687,0.0895953757225433,NA,NA,NA,308,NA,74,9,NA,0.146666666666667,0.08,0.226666666666667,TRUE,FALSE,TRUE,28
