"pobs_1_min","pobs_1_max","pobs_2_min","pobs_2_max","steep","xm","pscale","lambda_con","kappa_con","proportion_before_ft","date_first_above_10","date_first_above_5","date_first_below_10","date_first_below_5","date_first_below_10_aw","date_first_below_5_aw","date_first_above_5_aw","date_first_above_10_aw","proportion_above","proportion_below","proportion_outside","converges","below_5","below_10","index_column"
0.1,0.2,0.1,0.2,5e-05,30000,1,1.26887447790464,1.93162052296195,0.092485549132948,NA,NA,NA,320,NA,NA,NA,NA,0.0266666666666667,0.0533333333333333,0.08,FALSE,FALSE,TRUE,1
0.1,0.2,0.1,0.2,5e-05,40000,1,1.18646311846686,1.6383485966511,0.106936416184971,NA,193,NA,308,NA,73,NA,NA,0.0266666666666667,0.0933333333333333,0.12,FALSE,FALSE,TRUE,2
0.1,0.2,0.1,0.2,5e-05,50000,1,1.03164604407533,1.00423181625198,0.124277456647399,NA,189,NA,304,NA,NA,33,NA,0.0666666666666667,0.0533333333333333,0.12,TRUE,FALSE,TRUE,3
0.1,0.2,0.1,0.3,5e-05,30000,1,1.0661123894388,1.01171861850865,0.115606936416185,NA,248,NA,304,NA,72,NA,NA,0.0533333333333333,0.12,0.173333333333333,TRUE,FALSE,TRUE,4
0.1,0.2,0.1,0.3,5e-05,40000,1,1.04444896866974,1.00654271196688,0.11849710982659,NA,193,303,298,75,70,NA,NA,0,0.133333333333333,0.133333333333333,TRUE,FALSE,FALSE,5
0.1,0.2,0.1,0.3,5e-05,50000,1,1.06008178348177,1.00537746208431,0.11271676300578,NA,NA,305,300,NA,71,32,NA,0.08,0.12,0.2,TRUE,FALSE,FALSE,6
0.1,0.3,0.1,0.3,5e-05,30000,1,1.05916300596467,1.00551850511492,0.11271676300578,NA,NA,303,298,70,65,NA,NA,0.0533333333333333,0.2,0.253333333333333,TRUE,FALSE,FALSE,7
0.1,0.3,0.1,0.3,5e-05,40000,1,1.02854634525202,1.00336094559702,0.132947976878613,NA,240,303,298,72,67,9,NA,0.106666666666667,0.186666666666667,0.293333333333333,TRUE,FALSE,FALSE,8
0.1,0.3,0.1,0.3,5e-05,50000,1,1.03275622296538,1.00358895939591,0.138728323699422,NA,NA,302,297,72,67,NA,NA,0.0133333333333333,0.173333333333333,0.186666666666667,TRUE,FALSE,FALSE,9
0.1,0.2,0.2,0.3,5e-05,30000,1,1.0396061406379,1.00689864196364,0.0751445086705202,NA,NA,NA,320,NA,74,NA,NA,0,0.0666666666666667,0.0666666666666667,TRUE,FALSE,TRUE,10
0.1,0.2,0.2,0.3,5e-05,40000,1,1.03626616774233,1.0035324307398,0.0982658959537572,NA,270,NA,308,NA,NA,NA,NA,0,0.0133333333333333,0.0133333333333333,TRUE,FALSE,TRUE,11
0.1,0.2,0.2,0.3,5e-05,50000,1,1.02100652131224,1.00435729467967,0.0895953757225433,NA,269,NA,339,NA,NA,33,NA,0.0666666666666667,0,0.0666666666666667,TRUE,FALSE,TRUE,12
0.1,0.3,0.2,0.3,5e-05,30000,1,1.02852049647972,1.00269960175297,0.0722543352601156,NA,NA,NA,304,NA,NA,NA,NA,0.04,0.0666666666666667,0.106666666666667,TRUE,FALSE,TRUE,13
0.1,0.3,0.2,0.3,5e-05,40000,1,1.04148546828493,1.00341973803079,0.092485549132948,NA,242,313,308,NA,NA,NA,NA,0.0533333333333333,0,0.0533333333333333,TRUE,FALSE,FALSE,14
0.1,0.3,0.2,0.3,5e-05,50000,1,1.0478450202811,1.00152675533262,0.0867052023121387,NA,NA,NA,308,NA,NA,NA,NA,0.04,0,0.04,TRUE,FALSE,TRUE,15
0.2,0.3,0.2,0.3,5e-05,30000,1,1.03085358352836,1.00478621465694,0.0953757225433526,NA,NA,NA,308,NA,NA,9,NA,0.106666666666667,0.04,0.146666666666667,TRUE,FALSE,TRUE,16
0.2,0.3,0.2,0.3,5e-05,40000,1,1.03272009816275,1.00366662397379,0.092485549132948,NA,159,NA,308,NA,NA,NA,NA,0.0133333333333333,0.0266666666666667,0.04,TRUE,FALSE,TRUE,17
0.2,0.3,0.2,0.3,5e-05,50000,1,1.03545696668528,1.00371092007266,0.069364161849711,NA,NA,NA,NA,NA,NA,NA,NA,0.0133333333333333,0.0266666666666667,0.04,TRUE,TRUE,TRUE,18
0.1,0.2,0.1,0.4,5e-05,30000,1,1.05734922574412,1.00746249891759,0.130057803468208,NA,248,305,300,74,69,NA,NA,0.0533333333333333,0.213333333333333,0.266666666666667,TRUE,FALSE,FALSE,19
0.1,0.2,0.1,0.4,5e-05,40000,1,1.05663336628782,1.00419388193508,0.132947976878613,NA,193,302,297,73,68,NA,NA,0,0.16,0.16,TRUE,FALSE,FALSE,20
0.1,0.2,0.1,0.4,5e-05,50000,1,1.07681573279276,1.00602280183946,0.127167630057803,NA,190,302,297,74,69,32,NA,0.0666666666666667,0.146666666666667,0.213333333333333,TRUE,FALSE,FALSE,21
0.1,0.3,0.1,0.4,5e-05,30000,1,1.06036764636521,1.00613265175131,0.132947976878613,NA,161,301,296,70,65,9,NA,0.0933333333333333,0.226666666666667,0.32,TRUE,FALSE,FALSE,22
0.1,0.3,0.1,0.4,5e-05,40000,1,1.03024313642865,1.00237172099627,0.138728323699422,NA,240,301,296,70,65,7,NA,0.0933333333333333,0.24,0.333333333333333,TRUE,FALSE,FALSE,23
0.1,0.3,0.1,0.4,5e-05,50000,1,1.04193239095724,1.00286977815114,0.141618497109827,NA,NA,301,296,71,66,NA,NA,0.0133333333333333,0.186666666666667,0.2,TRUE,FALSE,FALSE,24
0.1,0.4,0.1,0.4,5e-05,30000,1,1.0611300617854,1.00677499781308,0.127167630057803,NA,NA,300,295,60,55,NA,NA,0.0533333333333333,0.333333333333333,0.386666666666667,TRUE,FALSE,FALSE,25
0.1,0.4,0.1,0.4,5e-05,40000,1,1.05787750557902,1.0025547735553,0.130057803468208,NA,NA,299,294,61,56,7,NA,0.08,0.32,0.4,TRUE,FALSE,FALSE,26
0.1,0.4,0.1,0.4,5e-05,50000,1,1.02363193693272,1.00397350356946,0.121387283236994,NA,NA,300,295,72,67,7,NA,0.0933333333333333,0.186666666666667,0.28,TRUE,FALSE,FALSE,27
0.1,0.2,0.2,0.4,5e-05,30000,1,1.03712577837262,1.00442572511463,0.0953757225433526,NA,NA,NA,305,NA,74,NA,NA,0.04,0.08,0.12,TRUE,FALSE,TRUE,28
0.1,0.2,0.2,0.4,5e-05,40000,1,1.02250716880756,1.00421796716086,0.104046242774566,NA,193,310,305,NA,74,NA,NA,0,0.08,0.08,TRUE,FALSE,FALSE,29
0.1,0.2,0.2,0.4,5e-05,50000,1,1.04230364306763,1.00499167302783,0.101156069364162,NA,191,309,304,NA,73,NA,NA,0,0.0933333333333333,0.0933333333333333,TRUE,FALSE,FALSE,30
0.1,0.3,0.2,0.4,5e-05,30000,1,1.04022754532553,1.00463055498648,0.109826589595376,NA,NA,305,300,NA,73,NA,NA,0.0133333333333333,0.0933333333333333,0.106666666666667,TRUE,FALSE,FALSE,31
0.1,0.3,0.2,0.4,5e-05,40000,1,1.01521806287592,1.00263236707772,0.104046242774566,NA,242,310,305,NA,71,7,NA,0.0666666666666667,0.12,0.186666666666667,TRUE,FALSE,FALSE,32
0.1,0.3,0.2,0.4,5e-05,50000,1,1.01979223802066,1.00279790822075,0.121387283236994,NA,247,304,299,75,70,NA,NA,0.0533333333333333,0.133333333333333,0.186666666666667,TRUE,FALSE,FALSE,33
0.2,0.3,0.2,0.4,5e-05,30000,1,1.02333403768056,1.00363189676232,0.0982658959537572,NA,NA,310,305,NA,74,7,NA,0.08,0.08,0.16,TRUE,FALSE,FALSE,34
0.2,0.3,0.2,0.4,5e-05,40000,1,1.02602299707752,1.00186731573894,0.11849710982659,NA,240,307,302,NA,74,7,NA,0.08,0.08,0.16,TRUE,FALSE,FALSE,35
0.2,0.3,0.2,0.4,5e-05,50000,1,1.03252818406661,1.00233458493787,0.101156069364162,NA,NA,NA,305,NA,74,9,NA,0.08,0.08,0.16,TRUE,FALSE,TRUE,36
