"pobs_1","pobs_2","dprob","pscale","lambda_con","kappa_con","proportion","date_first","proportion_after_wavesplit","date_first_after_wavesplit","proportion_before_ft","date_first_above_10","date_first_above_5","date_first_below_10","date_first_below_5","index_i","converges","below_5","below_10","index_column"
0.1,0.1,0.001,1.9,1.12783589527435,1.43321682894231,0.54014598540146,69,0.973333333333333,7,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,2,1.12783589527435,1.43321682894231,0.54014598540146,69,0.973333333333333,7,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,2.1,1.12783589527435,1.43321682894231,0.54014598540146,69,0.973333333333333,7,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,2.2,1.12783589527435,1.43321682894231,0.54014598540146,69,0.973333333333333,7,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,2.3,1.12783589527435,1.43321682894231,0.54014598540146,69,0.973333333333333,7,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,2.4,1.12783589527435,1.43321682894231,0.54014598540146,69,0.973333333333333,7,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,2.5,1.12783589527435,1.43321682894231,0.54014598540146,69,0.973333333333333,7,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,2.6,1.12783589527435,1.43321682894231,0.54014598540146,69,0.973333333333333,7,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,2.7,1.12783589527435,1.43321682894231,0.54014598540146,69,0.973333333333333,7,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,2.8,1.12783589527435,1.43321682894231,0.547445255474453,68,0.986666666666667,6,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,1,1.12783589527435,1.43321682894231,0.138686131386861,107,0.24,45,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,2.9,1.12783589527435,1.43321682894231,0.547445255474453,68,0.986666666666667,6,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,3,1.12783589527435,1.43321682894231,0.547445255474453,68,0.986666666666667,6,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,1.2,1.12783589527435,1.43321682894231,0.313868613138686,71,0.56,9,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,1.3,1.12783589527435,1.43321682894231,0.386861313868613,71,0.693333333333333,9,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,1.4,1.12783589527435,1.43321682894231,0.452554744525547,71,0.813333333333333,9,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,1.1,1.12783589527435,1.43321682894231,0.211678832116788,75,0.373333333333333,13,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,1.6,1.12783589527435,1.43321682894231,0.496350364963504,71,0.893333333333333,9,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,1.7,1.12783589527435,1.43321682894231,0.510948905109489,71,0.92,9,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,1.8,1.12783589527435,1.43321682894231,0.54014598540146,69,0.973333333333333,7,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,1.5,1.12783589527435,1.43321682894231,0.489051094890511,71,0.88,9,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.01,1.4,1.09229197698991,1.31463770871467,0.321167883211679,71,0.586666666666667,9,0.0809248554913295,NA,NA,NA,310,526,FALSE,FALSE,TRUE,26
0.1,0.1,0.01,1.7,1.09229197698991,1.31463770871467,0.416058394160584,71,0.76,9,0.0809248554913295,NA,NA,NA,310,526,FALSE,FALSE,TRUE,26
0.1,0.1,0.01,1.8,1.09229197698991,1.31463770871467,0.45985401459854,71,0.84,9,0.0809248554913295,NA,NA,NA,310,526,FALSE,FALSE,TRUE,26
0.1,0.1,0.01,2.8,1.09229197698991,1.31463770871467,0.525547445255474,70,0.96,8,0.0809248554913295,NA,NA,NA,310,526,FALSE,FALSE,TRUE,26
0.1,0.1,0.01,2.4,1.09229197698991,1.31463770871467,0.525547445255474,70,0.96,8,0.0809248554913295,NA,NA,NA,310,526,FALSE,FALSE,TRUE,26
0.1,0.1,0.01,2.5,1.09229197698991,1.31463770871467,0.525547445255474,70,0.96,8,0.0809248554913295,NA,NA,NA,310,526,FALSE,FALSE,TRUE,26
0.1,0.1,0.01,1.3,1.09229197698991,1.31463770871467,0.211678832116788,71,0.386666666666667,9,0.0809248554913295,NA,NA,NA,310,526,FALSE,FALSE,TRUE,26
0.1,0.1,0.01,2.7,1.09229197698991,1.31463770871467,0.525547445255474,70,0.96,8,0.0809248554913295,NA,NA,NA,310,526,FALSE,FALSE,TRUE,26
0.1,0.1,0.01,2.9,1.09229197698991,1.31463770871467,0.525547445255474,70,0.96,8,0.0809248554913295,NA,NA,NA,310,526,FALSE,FALSE,TRUE,26
0.1,0.1,0.01,3,1.09229197698991,1.31463770871467,0.532846715328467,69,0.973333333333333,7,0.0809248554913295,NA,NA,NA,310,526,FALSE,FALSE,TRUE,26
