"pobs_1","pobs_2","dprob","pscale","lambda_con","kappa_con","proportion","date_first","proportion_after_wavesplit","date_first_after_wavesplit","proportion_before_ft","date_first_above_10","date_first_above_5","date_first_below_10","date_first_below_5","index_i","converges","below_5","below_10","index_column"
0.1,0.1,0.001,1.3,1.0755072387031,1.00926004637976,0.138686131386861,70,0.253333333333333,8,0.0491329479768786,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,2.3,1.0755072387031,1.00926004637976,0.532846715328467,69,0.973333333333333,7,0.0491329479768786,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,1.8,1.0755072387031,1.00926004637976,0.37956204379562,69,0.693333333333333,7,0.0491329479768786,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,2.4,1.0755072387031,1.00926004637976,0.532846715328467,69,0.973333333333333,7,0.0491329479768786,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,1.5,1.0755072387031,1.00926004637976,0.211678832116788,70,0.386666666666667,8,0.0491329479768786,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,1.2,1.0755072387031,1.00926004637976,0.124087591240876,70,0.226666666666667,8,0.0491329479768786,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,2.5,1.0755072387031,1.00926004637976,0.532846715328467,69,0.973333333333333,7,0.0491329479768786,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,2.2,1.0755072387031,1.00926004637976,0.525547445255474,69,0.96,7,0.0491329479768786,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,3,1.0755072387031,1.00926004637976,0.532846715328467,69,0.973333333333333,7,0.0491329479768786,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,2,1.0755072387031,1.00926004637976,0.489051094890511,69,0.893333333333333,7,0.0491329479768786,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,1.4,1.0755072387031,1.00926004637976,0.182481751824818,70,0.333333333333333,8,0.0491329479768786,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,1.7,1.0755072387031,1.00926004637976,0.328467153284672,69,0.6,7,0.0491329479768786,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,1.9,1.0755072387031,1.00926004637976,0.430656934306569,69,0.786666666666667,7,0.0491329479768786,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,2.9,1.0755072387031,1.00926004637976,0.532846715328467,69,0.973333333333333,7,0.0491329479768786,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,1.6,1.0755072387031,1.00926004637976,0.27007299270073,69,0.493333333333333,7,0.0491329479768786,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,2.1,1.0755072387031,1.00926004637976,0.489051094890511,69,0.893333333333333,7,0.0491329479768786,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,1.1,1.0755072387031,1.00926004637976,0.0291970802919708,NA,0.0533333333333333,NA,0.0491329479768786,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,2.8,1.0755072387031,1.00926004637976,0.532846715328467,69,0.973333333333333,7,0.0491329479768786,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,2.6,1.0755072387031,1.00926004637976,0.532846715328467,69,0.973333333333333,7,0.0491329479768786,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,1,1.0755072387031,1.00926004637976,0.0218978102189781,NA,0.04,NA,0.0491329479768786,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,2.7,1.0755072387031,1.00926004637976,0.532846715328467,69,0.973333333333333,7,0.0491329479768786,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.01,1,1.05927685488237,1.30800964549825,0.0072992700729927,NA,0.0133333333333333,NA,0.0578034682080925,NA,NA,NA,NA,526,FALSE,TRUE,TRUE,26
0.1,0.1,0.01,1.1,1.05927685488237,1.30800964549825,0.072992700729927,NA,0.133333333333333,NA,0.0578034682080925,NA,NA,NA,NA,526,FALSE,TRUE,TRUE,26
0.1,0.1,0.01,1.3,1.05927685488237,1.30800964549825,0.248175182481752,95,0.453333333333333,33,0.0578034682080925,NA,NA,NA,NA,526,FALSE,TRUE,TRUE,26
0.1,0.1,0.01,1.4,1.05927685488237,1.30800964549825,0.306569343065693,95,0.56,33,0.0578034682080925,NA,NA,NA,NA,526,FALSE,TRUE,TRUE,26
0.1,0.1,0.01,1.5,1.05927685488237,1.30800964549825,0.357664233576642,95,0.653333333333333,33,0.0578034682080925,NA,NA,NA,NA,526,FALSE,TRUE,TRUE,26
0.1,0.1,0.01,1.2,1.05927685488237,1.30800964549825,0.145985401459854,97,0.266666666666667,35,0.0578034682080925,NA,NA,NA,NA,526,FALSE,TRUE,TRUE,26
0.1,0.1,0.01,1.7,1.05927685488237,1.30800964549825,0.474452554744526,71,0.866666666666667,9,0.0578034682080925,NA,NA,NA,NA,526,FALSE,TRUE,TRUE,26
0.1,0.1,0.01,1.8,1.05927685488237,1.30800964549825,0.510948905109489,71,0.933333333333333,9,0.0578034682080925,NA,NA,NA,NA,526,FALSE,TRUE,TRUE,26
0.1,0.1,0.01,1.9,1.05927685488237,1.30800964549825,0.525547445255474,71,0.96,9,0.0578034682080925,NA,NA,NA,NA,526,FALSE,TRUE,TRUE,26
0.1,0.1,0.01,2,1.05927685488237,1.30800964549825,0.525547445255474,71,0.96,9,0.0578034682080925,NA,NA,NA,NA,526,FALSE,TRUE,TRUE,26
0.1,0.1,0.01,2.1,1.05927685488237,1.30800964549825,0.525547445255474,71,0.96,9,0.0578034682080925,NA,NA,NA,NA,526,FALSE,TRUE,TRUE,26
0.1,0.1,0.01,2.2,1.05927685488237,1.30800964549825,0.532846715328467,69,0.973333333333333,7,0.0578034682080925,NA,NA,NA,NA,526,FALSE,TRUE,TRUE,26
0.1,0.1,0.01,2.3,1.05927685488237,1.30800964549825,0.532846715328467,69,0.973333333333333,7,0.0578034682080925,NA,NA,NA,NA,526,FALSE,TRUE,TRUE,26
0.1,0.1,0.01,2.4,1.05927685488237,1.30800964549825,0.532846715328467,69,0.973333333333333,7,0.0578034682080925,NA,NA,NA,NA,526,FALSE,TRUE,TRUE,26
0.1,0.1,0.01,2.5,1.05927685488237,1.30800964549825,0.532846715328467,69,0.973333333333333,7,0.0578034682080925,NA,NA,NA,NA,526,FALSE,TRUE,TRUE,26
0.1,0.1,0.01,2.6,1.05927685488237,1.30800964549825,0.532846715328467,69,0.973333333333333,7,0.0578034682080925,NA,NA,NA,NA,526,FALSE,TRUE,TRUE,26
0.1,0.1,0.01,2.7,1.05927685488237,1.30800964549825,0.532846715328467,69,0.973333333333333,7,0.0578034682080925,NA,NA,NA,NA,526,FALSE,TRUE,TRUE,26
0.1,0.1,0.01,2.8,1.05927685488237,1.30800964549825,0.532846715328467,69,0.973333333333333,7,0.0578034682080925,NA,NA,NA,NA,526,FALSE,TRUE,TRUE,26
0.1,0.1,0.01,1.6,1.05927685488237,1.30800964549825,0.437956204379562,71,0.8,9,0.0578034682080925,NA,NA,NA,NA,526,FALSE,TRUE,TRUE,26
0.1,0.1,0.01,3,1.05927685488237,1.30800964549825,0.532846715328467,69,0.973333333333333,7,0.0578034682080925,NA,NA,NA,NA,526,FALSE,TRUE,TRUE,26
0.1,0.1,0.01,2.9,1.05927685488237,1.30800964549825,0.532846715328467,69,0.973333333333333,7,0.0578034682080925,NA,NA,NA,NA,526,FALSE,TRUE,TRUE,26
0.1,0.1,0.05,1.7,1.06673980301891,1.31757786793397,0.452554744525547,71,0.786666666666667,9,0.0491329479768786,NA,NA,NA,NA,1051,FALSE,TRUE,TRUE,51
0.1,0.1,0.05,1.4,1.06673980301891,1.31757786793397,0.372262773722628,71,0.64,9,0.0491329479768786,NA,NA,NA,NA,1051,FALSE,TRUE,TRUE,51
0.1,0.1,0.05,1.5,1.06673980301891,1.31757786793397,0.401459854014599,71,0.693333333333333,9,0.0491329479768786,NA,NA,NA,NA,1051,FALSE,TRUE,TRUE,51
0.1,0.1,0.05,1.6,1.06673980301891,1.31757786793397,0.452554744525547,71,0.786666666666667,9,0.0491329479768786,NA,NA,NA,NA,1051,FALSE,TRUE,TRUE,51
0.1,0.1,0.05,2.1,1.06673980301891,1.31757786793397,0.532846715328467,70,0.933333333333333,8,0.0491329479768786,NA,NA,NA,NA,1051,FALSE,TRUE,TRUE,51
0.1,0.1,0.05,1.8,1.06673980301891,1.31757786793397,0.474452554744526,70,0.826666666666667,8,0.0491329479768786,NA,NA,NA,NA,1051,FALSE,TRUE,TRUE,51
0.1,0.1,0.05,2.6,1.06673980301891,1.31757786793397,0.554744525547445,69,0.973333333333333,7,0.0491329479768786,NA,NA,NA,NA,1051,FALSE,TRUE,TRUE,51
0.1,0.1,0.05,3,1.06673980301891,1.31757786793397,0.554744525547445,69,0.973333333333333,7,0.0491329479768786,NA,NA,NA,NA,1051,FALSE,TRUE,TRUE,51
0.1,0.1,0.05,2.7,1.06673980301891,1.31757786793397,0.554744525547445,69,0.973333333333333,7,0.0491329479768786,NA,NA,NA,NA,1051,FALSE,TRUE,TRUE,51
0.1,0.1,0.05,2.8,1.06673980301891,1.31757786793397,0.554744525547445,69,0.973333333333333,7,0.0491329479768786,NA,NA,NA,NA,1051,FALSE,TRUE,TRUE,51
