"pobs_1","pobs_2","dprob","pscale","lambda_con","kappa_con","proportion","date_first","proportion_after_wavesplit","date_first_after_wavesplit","proportion_before_ft","date_first_above_10","date_first_above_5","date_first_below_10","date_first_below_5","index_i","converges","below_5","below_10","index_column"
0.1,0.1,0.001,1.9,1.08772612199394,1.88056481232757,0.474452554744526,71,0.866666666666667,9,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,2,1.08772612199394,1.88056481232757,0.503649635036496,71,0.92,9,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,2.1,1.08772612199394,1.88056481232757,0.503649635036496,71,0.92,9,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,2.2,1.08772612199394,1.88056481232757,0.518248175182482,71,0.946666666666667,9,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,2.3,1.08772612199394,1.88056481232757,0.518248175182482,71,0.946666666666667,9,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,2.4,1.08772612199394,1.88056481232757,0.518248175182482,71,0.946666666666667,9,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,2.5,1.08772612199394,1.88056481232757,0.518248175182482,71,0.946666666666667,9,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,2.6,1.08772612199394,1.88056481232757,0.532846715328467,69,0.973333333333333,7,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,2.7,1.08772612199394,1.88056481232757,0.532846715328467,69,0.973333333333333,7,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,2.8,1.08772612199394,1.88056481232757,0.532846715328467,69,0.973333333333333,7,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,1,1.08772612199394,1.88056481232757,0.0802919708029197,129,0.146666666666667,67,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,2.9,1.08772612199394,1.88056481232757,0.532846715328467,69,0.973333333333333,7,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,3,1.08772612199394,1.88056481232757,0.532846715328467,69,0.973333333333333,7,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,1.8,1.08772612199394,1.88056481232757,0.467153284671533,71,0.853333333333333,9,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,1.1,1.08772612199394,1.88056481232757,0.138686131386861,109,0.253333333333333,47,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,1.5,1.08772612199394,1.88056481232757,0.328467153284672,97,0.6,35,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,1.6,1.08772612199394,1.88056481232757,0.372262773722628,79,0.68,17,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,1.3,1.08772612199394,1.88056481232757,0.218978102189781,98,0.4,36,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,1.2,1.08772612199394,1.88056481232757,0.197080291970803,98,0.36,36,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,1.7,1.08772612199394,1.88056481232757,0.452554744525547,71,0.826666666666667,9,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.001,1.4,1.08772612199394,1.88056481232757,0.27007299270073,97,0.493333333333333,35,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,0.01,2.6,1.05142683128239,1.32968245941372,0.518248175182482,71,0.946666666666667,9,0.0809248554913295,NA,NA,NA,307,526,FALSE,FALSE,TRUE,26
0.1,0.1,0.01,1,1.05142683128239,1.32968245941372,0.0291970802919708,NA,0.0533333333333333,NA,0.0809248554913295,NA,NA,NA,307,526,FALSE,FALSE,TRUE,26
0.1,0.1,0.01,2.3,1.05142683128239,1.32968245941372,0.510948905109489,71,0.933333333333333,9,0.0809248554913295,NA,NA,NA,307,526,FALSE,FALSE,TRUE,26
0.1,0.1,0.01,2.4,1.05142683128239,1.32968245941372,0.518248175182482,71,0.946666666666667,9,0.0809248554913295,NA,NA,NA,307,526,FALSE,FALSE,TRUE,26
0.1,0.1,0.01,2.5,1.05142683128239,1.32968245941372,0.518248175182482,71,0.946666666666667,9,0.0809248554913295,NA,NA,NA,307,526,FALSE,FALSE,TRUE,26
0.1,0.1,0.01,3,1.05142683128239,1.32968245941372,0.532846715328467,69,0.973333333333333,7,0.0809248554913295,NA,NA,NA,307,526,FALSE,FALSE,TRUE,26
0.1,0.1,0.01,2.7,1.05142683128239,1.32968245941372,0.518248175182482,71,0.946666666666667,9,0.0809248554913295,NA,NA,NA,307,526,FALSE,FALSE,TRUE,26
0.1,0.1,0.01,2.8,1.05142683128239,1.32968245941372,0.532846715328467,69,0.973333333333333,7,0.0809248554913295,NA,NA,NA,307,526,FALSE,FALSE,TRUE,26
0.1,0.1,0.01,2.9,1.05142683128239,1.32968245941372,0.532846715328467,69,0.973333333333333,7,0.0809248554913295,NA,NA,NA,307,526,FALSE,FALSE,TRUE,26
0.1,0.1,0.01,2.2,1.05142683128239,1.32968245941372,0.510948905109489,71,0.933333333333333,9,0.0809248554913295,NA,NA,NA,307,526,FALSE,FALSE,TRUE,26
0.1,0.1,0.01,1.9,1.05142683128239,1.32968245941372,0.474452554744526,73,0.866666666666667,11,0.0809248554913295,NA,NA,NA,307,526,FALSE,FALSE,TRUE,26
0.1,0.1,0.01,2,1.05142683128239,1.32968245941372,0.496350364963504,73,0.906666666666667,11,0.0809248554913295,NA,NA,NA,307,526,FALSE,FALSE,TRUE,26
0.1,0.1,0.01,2.1,1.05142683128239,1.32968245941372,0.503649635036496,73,0.92,11,0.0809248554913295,NA,NA,NA,307,526,FALSE,FALSE,TRUE,26
0.1,0.1,0.01,1.2,1.05142683128239,1.32968245941372,0.0802919708029197,130,0.146666666666667,68,0.0809248554913295,NA,NA,NA,307,526,FALSE,FALSE,TRUE,26
0.1,0.1,0.01,1.3,1.05142683128239,1.32968245941372,0.109489051094891,114,0.2,52,0.0809248554913295,NA,NA,NA,307,526,FALSE,FALSE,TRUE,26
0.1,0.1,0.01,1.4,1.05142683128239,1.32968245941372,0.138686131386861,114,0.253333333333333,52,0.0809248554913295,NA,NA,NA,307,526,FALSE,FALSE,TRUE,26
0.1,0.1,0.01,1.1,1.05142683128239,1.32968245941372,0.0291970802919708,NA,0.0533333333333333,NA,0.0809248554913295,NA,NA,NA,307,526,FALSE,FALSE,TRUE,26
0.1,0.1,0.01,1.6,1.05142683128239,1.32968245941372,0.291970802919708,113,0.533333333333333,51,0.0809248554913295,NA,NA,NA,307,526,FALSE,FALSE,TRUE,26
0.1,0.1,0.01,1.7,1.05142683128239,1.32968245941372,0.364963503649635,92,0.666666666666667,30,0.0809248554913295,NA,NA,NA,307,526,FALSE,FALSE,TRUE,26
0.1,0.1,0.01,1.8,1.05142683128239,1.32968245941372,0.401459854014599,92,0.733333333333333,30,0.0809248554913295,NA,NA,NA,307,526,FALSE,FALSE,TRUE,26
0.1,0.1,0.01,1.5,1.05142683128239,1.32968245941372,0.211678832116788,113,0.386666666666667,51,0.0809248554913295,NA,NA,NA,307,526,FALSE,FALSE,TRUE,26
0.1,0.1,0.05,1,1.0483143399382,1.22219881243704,0.0291970802919708,NA,0.0533333333333333,NA,0.0549132947976879,NA,NA,NA,NA,1051,FALSE,TRUE,TRUE,51
0.1,0.1,0.05,1.3,1.0483143399382,1.22219881243704,0.124087591240876,71,0.226666666666667,9,0.0549132947976879,NA,NA,NA,NA,1051,FALSE,TRUE,TRUE,51
0.1,0.1,0.05,1.4,1.0483143399382,1.22219881243704,0.153284671532847,71,0.28,9,0.0549132947976879,NA,NA,NA,NA,1051,FALSE,TRUE,TRUE,51
0.1,0.1,0.05,1.5,1.0483143399382,1.22219881243704,0.204379562043796,71,0.373333333333333,9,0.0549132947976879,NA,NA,NA,NA,1051,FALSE,TRUE,TRUE,51
0.1,0.1,0.05,1.6,1.0483143399382,1.22219881243704,0.291970802919708,71,0.533333333333333,9,0.0549132947976879,NA,NA,NA,NA,1051,FALSE,TRUE,TRUE,51
0.1,0.1,0.05,1.7,1.0483143399382,1.22219881243704,0.408759124087591,70,0.746666666666667,8,0.0549132947976879,NA,NA,NA,NA,1051,FALSE,TRUE,TRUE,51
0.1,0.1,0.05,1.8,1.0483143399382,1.22219881243704,0.45985401459854,70,0.84,8,0.0549132947976879,NA,NA,NA,NA,1051,FALSE,TRUE,TRUE,51
0.1,0.1,0.05,1.9,1.0483143399382,1.22219881243704,0.496350364963504,70,0.906666666666667,8,0.0549132947976879,NA,NA,NA,NA,1051,FALSE,TRUE,TRUE,51
0.1,0.1,0.05,2,1.0483143399382,1.22219881243704,0.496350364963504,70,0.906666666666667,8,0.0549132947976879,NA,NA,NA,NA,1051,FALSE,TRUE,TRUE,51
0.1,0.1,0.05,2.1,1.0483143399382,1.22219881243704,0.525547445255474,70,0.96,8,0.0549132947976879,NA,NA,NA,NA,1051,FALSE,TRUE,TRUE,51
0.1,0.1,0.05,2.2,1.0483143399382,1.22219881243704,0.532846715328467,69,0.973333333333333,7,0.0549132947976879,NA,NA,NA,NA,1051,FALSE,TRUE,TRUE,51
0.1,0.1,0.05,2.3,1.0483143399382,1.22219881243704,0.532846715328467,69,0.973333333333333,7,0.0549132947976879,NA,NA,NA,NA,1051,FALSE,TRUE,TRUE,51
0.1,0.1,0.05,1.1,1.0483143399382,1.22219881243704,0.0437956204379562,129,0.08,67,0.0549132947976879,NA,NA,NA,NA,1051,FALSE,TRUE,TRUE,51
0.1,0.1,0.05,1.2,1.0483143399382,1.22219881243704,0.072992700729927,128,0.133333333333333,66,0.0549132947976879,NA,NA,NA,NA,1051,FALSE,TRUE,TRUE,51
0.1,0.1,0.05,2.5,1.0483143399382,1.22219881243704,0.532846715328467,69,0.973333333333333,7,0.0549132947976879,NA,NA,NA,NA,1051,FALSE,TRUE,TRUE,51
