"pscale1","pscale2","lambda_con","kappa_con","lambda_2_con","proportion","date_first","proportion_aw2","date_first_aw2","seed"
2.8,1.2,1.08613002873198,1.0033278653747,1.02621947282801,0.0264900662251656,NA,0.0329218106995885,NA,20
2.8,1.5,1.080161129521,1.00183552462816,1.06294769669444,0.129139072847682,83,0.160493827160494,24,20
2.8,2,1.07339548354768,1.00289355749911,1.05716332352589,0.410596026490066,66,0.510288065843621,7,20
