"pobs_1","pobs_2","pscale","lambda_con","kappa_con","proportion","date_first","proportion_after_wavesplit","date_first_after_wavesplit","proportion_before_ft","date_first_above_10","date_first_above_5","date_first_below_10","date_first_below_5","index_i","converges","below_5","below_10","index_column"
0.1,0.1,2,1.05421470960066,1.31459148939307,0.518248175182482,69,0.946666666666667,7,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,2.1,1.05421470960066,1.31459148939307,0.525547445255474,69,0.96,7,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,2.5,1.05421470960066,1.31459148939307,0.532846715328467,69,0.973333333333333,7,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,2.9,1.05421470960066,1.31459148939307,0.532846715328467,69,0.973333333333333,7,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,3,1.05421470960066,1.31459148939307,0.532846715328467,69,0.973333333333333,7,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,1.4,1.05421470960066,1.31459148939307,0.328467153284672,87,0.6,25,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,1.6,1.05421470960066,1.31459148939307,0.437956204379562,69,0.8,7,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,1.3,1.05421470960066,1.31459148939307,0.27007299270073,89,0.493333333333333,27,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,1.9,1.05421470960066,1.31459148939307,0.503649635036496,69,0.92,7,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,2.2,1.05421470960066,1.31459148939307,0.532846715328467,69,0.973333333333333,7,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,2.3,1.05421470960066,1.31459148939307,0.532846715328467,69,0.973333333333333,7,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,1.2,1.05421470960066,1.31459148939307,0.211678832116788,107,0.386666666666667,45,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,2.6,1.05421470960066,1.31459148939307,0.532846715328467,69,0.973333333333333,7,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,2.7,1.05421470960066,1.31459148939307,0.532846715328467,69,0.973333333333333,7,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,1,1.05421470960066,1.31459148939307,0.116788321167883,107,0.213333333333333,45,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,2.4,1.05421470960066,1.31459148939307,0.532846715328467,69,0.973333333333333,7,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,1.5,1.05421470960066,1.31459148939307,0.423357664233577,69,0.773333333333333,7,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,1.8,1.05421470960066,1.31459148939307,0.489051094890511,69,0.893333333333333,7,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,2.8,1.05421470960066,1.31459148939307,0.532846715328467,69,0.973333333333333,7,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,1.7,1.05421470960066,1.31459148939307,0.45985401459854,69,0.84,7,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.1,1.1,1.05421470960066,1.31459148939307,0.18978102189781,107,0.346666666666667,45,0.0433526011560694,NA,NA,NA,NA,1,FALSE,TRUE,TRUE,1
0.1,0.2,1.4,1.03340616772848,1.00804838370061,0.306569343065693,89,0.56,27,0.0404624277456647,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.1,0.2,1.2,1.03340616772848,1.00804838370061,0.211678832116788,92,0.386666666666667,30,0.0404624277456647,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.1,0.2,2.5,1.03340616772848,1.00804838370061,0.532846715328467,69,0.973333333333333,7,0.0404624277456647,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.1,0.2,2.7,1.03340616772848,1.00804838370061,0.532846715328467,69,0.973333333333333,7,0.0404624277456647,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.1,0.2,1.3,1.03340616772848,1.00804838370061,0.233576642335766,92,0.426666666666667,30,0.0404624277456647,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.1,0.2,1.6,1.03340616772848,1.00804838370061,0.423357664233577,69,0.773333333333333,7,0.0404624277456647,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.1,0.2,2.6,1.03340616772848,1.00804838370061,0.532846715328467,69,0.973333333333333,7,0.0404624277456647,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.1,0.2,1.8,1.03340616772848,1.00804838370061,0.518248175182482,69,0.946666666666667,7,0.0404624277456647,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.1,0.2,1,1.03340616772848,1.00804838370061,0.0291970802919708,NA,0.0533333333333333,NA,0.0404624277456647,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.1,0.2,2,1.03340616772848,1.00804838370061,0.532846715328467,69,0.973333333333333,7,0.0404624277456647,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.1,0.2,1.7,1.03340616772848,1.00804838370061,0.467153284671533,69,0.853333333333333,7,0.0404624277456647,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.1,0.2,2.2,1.03340616772848,1.00804838370061,0.532846715328467,69,0.973333333333333,7,0.0404624277456647,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.1,0.2,1.1,1.03340616772848,1.00804838370061,0.153284671532847,107,0.28,45,0.0404624277456647,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.1,0.2,2.4,1.03340616772848,1.00804838370061,0.532846715328467,69,0.973333333333333,7,0.0404624277456647,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.1,0.2,2.8,1.03340616772848,1.00804838370061,0.532846715328467,69,0.973333333333333,7,0.0404624277456647,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.1,0.2,2.9,1.03340616772848,1.00804838370061,0.532846715328467,69,0.973333333333333,7,0.0404624277456647,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.1,0.2,3,1.03340616772848,1.00804838370061,0.532846715328467,69,0.973333333333333,7,0.0404624277456647,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.1,0.2,1.5,1.03340616772848,1.00804838370061,0.37956204379562,71,0.693333333333333,9,0.0404624277456647,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.1,0.2,2.3,1.03340616772848,1.00804838370061,0.532846715328467,69,0.973333333333333,7,0.0404624277456647,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.1,0.2,2.1,1.03340616772848,1.00804838370061,0.532846715328467,69,0.973333333333333,7,0.0404624277456647,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.1,0.2,1.9,1.03340616772848,1.00804838370061,0.532846715328467,69,0.973333333333333,7,0.0404624277456647,NA,NA,NA,NA,22,TRUE,TRUE,TRUE,2
0.1,0.3,2.2,1.0302256443499,1.00431470136591,0.532846715328467,69,0.973333333333333,7,0.0404624277456647,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.1,0.3,2,1.0302256443499,1.00431470136591,0.532846715328467,69,0.973333333333333,7,0.0404624277456647,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.1,0.3,2.1,1.0302256443499,1.00431470136591,0.532846715328467,69,0.973333333333333,7,0.0404624277456647,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.1,0.3,1.6,1.0302256443499,1.00431470136591,0.489051094890511,69,0.893333333333333,7,0.0404624277456647,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.1,0.3,1.7,1.0302256443499,1.00431470136591,0.503649635036496,69,0.92,7,0.0404624277456647,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.1,0.3,1.1,1.0302256443499,1.00431470136591,0.109489051094891,NA,0.2,NA,0.0404624277456647,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.1,0.3,1.8,1.0302256443499,1.00431470136591,0.532846715328467,69,0.973333333333333,7,0.0404624277456647,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.1,0.3,2.3,1.0302256443499,1.00431470136591,0.532846715328467,69,0.973333333333333,7,0.0404624277456647,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.1,0.3,2.5,1.0302256443499,1.00431470136591,0.532846715328467,69,0.973333333333333,7,0.0404624277456647,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.1,0.3,2.4,1.0302256443499,1.00431470136591,0.532846715328467,69,0.973333333333333,7,0.0404624277456647,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.1,0.3,2.7,1.0302256443499,1.00431470136591,0.532846715328467,69,0.973333333333333,7,0.0404624277456647,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.1,0.3,2.8,1.0302256443499,1.00431470136591,0.532846715328467,69,0.973333333333333,7,0.0404624277456647,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.1,0.3,1.2,1.0302256443499,1.00431470136591,0.197080291970803,107,0.36,45,0.0404624277456647,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.1,0.3,1,1.0302256443499,1.00431470136591,0.0291970802919708,NA,0.0533333333333333,NA,0.0404624277456647,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.1,0.3,1.9,1.0302256443499,1.00431470136591,0.532846715328467,69,0.973333333333333,7,0.0404624277456647,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.1,0.3,1.3,1.0302256443499,1.00431470136591,0.248175182481752,92,0.453333333333333,30,0.0404624277456647,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.1,0.3,3,1.0302256443499,1.00431470136591,0.532846715328467,69,0.973333333333333,7,0.0404624277456647,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.1,0.3,1.4,1.0302256443499,1.00431470136591,0.343065693430657,71,0.626666666666667,9,0.0404624277456647,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.1,0.3,2.6,1.0302256443499,1.00431470136591,0.532846715328467,69,0.973333333333333,7,0.0404624277456647,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.1,0.3,2.9,1.0302256443499,1.00431470136591,0.532846715328467,69,0.973333333333333,7,0.0404624277456647,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.1,0.3,1.5,1.0302256443499,1.00431470136591,0.408759124087591,71,0.746666666666667,9,0.0404624277456647,NA,NA,NA,NA,43,TRUE,TRUE,TRUE,3
0.1,0.4,1,1.01853866468134,1.00368103489807,0.0364963503649635,NA,0.0666666666666667,NA,0.0433526011560694,NA,NA,NA,NA,64,TRUE,TRUE,TRUE,4
0.1,0.4,2.1,1.01853866468134,1.00368103489807,0.532846715328467,69,0.973333333333333,7,0.0433526011560694,NA,NA,NA,NA,64,TRUE,TRUE,TRUE,4
0.1,0.4,1.2,1.01853866468134,1.00368103489807,0.160583941605839,107,0.293333333333333,45,0.0433526011560694,NA,NA,NA,NA,64,TRUE,TRUE,TRUE,4
0.1,0.4,2,1.01853866468134,1.00368103489807,0.532846715328467,69,0.973333333333333,7,0.0433526011560694,NA,NA,NA,NA,64,TRUE,TRUE,TRUE,4
0.1,0.4,1.4,1.01853866468134,1.00368103489807,0.328467153284672,71,0.6,9,0.0433526011560694,NA,NA,NA,NA,64,TRUE,TRUE,TRUE,4
0.1,0.4,1.5,1.01853866468134,1.00368103489807,0.401459854014599,71,0.733333333333333,9,0.0433526011560694,NA,NA,NA,NA,64,TRUE,TRUE,TRUE,4
0.1,0.4,1.9,1.01853866468134,1.00368103489807,0.525547445255474,70,0.96,8,0.0433526011560694,NA,NA,NA,NA,64,TRUE,TRUE,TRUE,4
0.1,0.4,1.1,1.01853866468134,1.00368103489807,0.0656934306569343,NA,0.12,NA,0.0433526011560694,NA,NA,NA,NA,64,TRUE,TRUE,TRUE,4
0.1,0.4,1.3,1.01853866468134,1.00368103489807,0.255474452554745,94,0.466666666666667,32,0.0433526011560694,NA,NA,NA,NA,64,TRUE,TRUE,TRUE,4
