"pobs_1","pobs_2","pscale","lambda_con","kappa_con","proportion","date_first","proportion_after_wavesplit","date_first_after_wavesplit","proportion_before_ft","date_first_above_10","date_first_above_5","date_first_below_10","date_first_below_5","index_i","converges","below_5","below_10","index_column"
0.1,0.1,1.9,1.06558941641115,1.31723369031819,0.408759124087591,69,0.746666666666667,7,0.0809248554913295,NA,270,NA,284,1,FALSE,FALSE,TRUE,1
0.1,0.1,2,1.06558941641115,1.31723369031819,0.445255474452555,69,0.813333333333333,7,0.0809248554913295,NA,270,NA,284,1,FALSE,FALSE,TRUE,1
0.1,0.1,2.1,1.06558941641115,1.31723369031819,0.467153284671533,69,0.853333333333333,7,0.0809248554913295,NA,270,NA,284,1,FALSE,FALSE,TRUE,1
0.1,0.1,2.2,1.06558941641115,1.31723369031819,0.489051094890511,69,0.893333333333333,7,0.0809248554913295,NA,270,NA,284,1,FALSE,FALSE,TRUE,1
0.1,0.1,2.3,1.06558941641115,1.31723369031819,0.496350364963504,69,0.906666666666667,7,0.0809248554913295,NA,270,NA,284,1,FALSE,FALSE,TRUE,1
0.1,0.1,2.4,1.06558941641115,1.31723369031819,0.510948905109489,69,0.933333333333333,7,0.0809248554913295,NA,270,NA,284,1,FALSE,FALSE,TRUE,1
0.1,0.1,2.5,1.06558941641115,1.31723369031819,0.518248175182482,69,0.946666666666667,7,0.0809248554913295,NA,270,NA,284,1,FALSE,FALSE,TRUE,1
0.1,0.1,2.6,1.06558941641115,1.31723369031819,0.518248175182482,69,0.946666666666667,7,0.0809248554913295,NA,270,NA,284,1,FALSE,FALSE,TRUE,1
0.1,0.1,2.7,1.06558941641115,1.31723369031819,0.518248175182482,69,0.946666666666667,7,0.0809248554913295,NA,270,NA,284,1,FALSE,FALSE,TRUE,1
0.1,0.1,2.8,1.06558941641115,1.31723369031819,0.525547445255474,69,0.96,7,0.0809248554913295,NA,270,NA,284,1,FALSE,FALSE,TRUE,1
0.1,0.1,1,1.06558941641115,1.31723369031819,0.116788321167883,117,0.213333333333333,55,0.0809248554913295,NA,270,NA,284,1,FALSE,FALSE,TRUE,1
0.1,0.1,2.9,1.06558941641115,1.31723369031819,0.525547445255474,69,0.96,7,0.0809248554913295,NA,270,NA,284,1,FALSE,FALSE,TRUE,1
0.1,0.1,3,1.06558941641115,1.31723369031819,0.532846715328467,69,0.973333333333333,7,0.0809248554913295,NA,270,NA,284,1,FALSE,FALSE,TRUE,1
0.1,0.1,1.1,1.06558941641115,1.31723369031819,0.167883211678832,117,0.306666666666667,55,0.0809248554913295,NA,270,NA,284,1,FALSE,FALSE,TRUE,1
0.1,0.1,1.2,1.06558941641115,1.31723369031819,0.262773722627737,102,0.48,40,0.0809248554913295,NA,270,NA,284,1,FALSE,FALSE,TRUE,1
0.1,0.1,1.3,1.06558941641115,1.31723369031819,0.306569343065693,102,0.56,40,0.0809248554913295,NA,270,NA,284,1,FALSE,FALSE,TRUE,1
0.1,0.1,1.4,1.06558941641115,1.31723369031819,0.357664233576642,69,0.653333333333333,7,0.0809248554913295,NA,270,NA,284,1,FALSE,FALSE,TRUE,1
0.1,0.1,1.5,1.06558941641115,1.31723369031819,0.386861313868613,69,0.706666666666667,7,0.0809248554913295,NA,270,NA,284,1,FALSE,FALSE,TRUE,1
0.1,0.1,1.6,1.06558941641115,1.31723369031819,0.401459854014599,69,0.733333333333333,7,0.0809248554913295,NA,270,NA,284,1,FALSE,FALSE,TRUE,1
0.1,0.1,1.7,1.06558941641115,1.31723369031819,0.401459854014599,69,0.733333333333333,7,0.0809248554913295,NA,270,NA,284,1,FALSE,FALSE,TRUE,1
0.1,0.1,1.8,1.06558941641115,1.31723369031819,0.401459854014599,69,0.733333333333333,7,0.0809248554913295,NA,270,NA,284,1,FALSE,FALSE,TRUE,1
0.1,0.2,1,1.02785610124002,1.012671259826,0.072992700729927,128,0.133333333333333,66,0.0809248554913295,NA,NA,NA,284,22,TRUE,FALSE,TRUE,2
0.1,0.2,1.1,1.02785610124002,1.012671259826,0.160583941605839,69,0.293333333333333,7,0.0809248554913295,NA,NA,NA,284,22,TRUE,FALSE,TRUE,2
0.1,0.2,1.2,1.02785610124002,1.012671259826,0.240875912408759,69,0.44,7,0.0809248554913295,NA,NA,NA,284,22,TRUE,FALSE,TRUE,2
0.1,0.2,1.3,1.02785610124002,1.012671259826,0.313868613138686,69,0.573333333333333,7,0.0809248554913295,NA,NA,NA,284,22,TRUE,FALSE,TRUE,2
0.1,0.2,1.4,1.02785610124002,1.012671259826,0.343065693430657,69,0.626666666666667,7,0.0809248554913295,NA,NA,NA,284,22,TRUE,FALSE,TRUE,2
0.1,0.2,1.5,1.02785610124002,1.012671259826,0.37956204379562,69,0.693333333333333,7,0.0809248554913295,NA,NA,NA,284,22,TRUE,FALSE,TRUE,2
0.1,0.2,1.6,1.02785610124002,1.012671259826,0.401459854014599,69,0.733333333333333,7,0.0809248554913295,NA,NA,NA,284,22,TRUE,FALSE,TRUE,2
0.1,0.2,1.7,1.02785610124002,1.012671259826,0.45985401459854,69,0.84,7,0.0809248554913295,NA,NA,NA,284,22,TRUE,FALSE,TRUE,2
0.1,0.2,1.8,1.02785610124002,1.012671259826,0.489051094890511,69,0.893333333333333,7,0.0809248554913295,NA,NA,NA,284,22,TRUE,FALSE,TRUE,2
