"pscale","lambda_con","kappa_con","lambda_2_con","proportion","date_first","seed"
1,1.08813534547246,1.00073697142115,1.02840199800491,0.0033112582781457,NA,1
1.2,1.05561458474175,1.00282139793542,1.02586645017318,0.033112582781457,NA,1
1.4,1.08607083631377,1.00106803598134,1.02563660854076,0,NA,1
1.6,1.07003278445611,1.00189184827614,1.01390750965229,0.0132450331125828,NA,1
1.8,1.11069482810695,1.00207865688486,1.02813888713626,0.0198675496688742,NA,1
2,1.16252093041583,1.00319617380783,1.03112070772041,0.0298013245033113,85,1
2.2,1.11095064482106,1.00119969173646,1.01765994309619,0.0198675496688742,NA,1
2.4,1.09635714496648,1.00121527942636,1.02777278164539,0.00993377483443709,NA,1
2.6,1.0593834105938,1.00251819918647,1.04497754815929,0.0231788079470199,85,1
2.8,1.0942817109058,1.00183628333228,1.03895232615347,0.0264900662251656,85,1
3,1.04864190041145,1.00323122470609,1.07038591508911,0.0165562913907285,NA,1
