"pscale","lambda_con","kappa_con","lambda_2_con","proportion","date_first","seed"
1,1.03406398878623,1.00412462836386,1.03631950180176,0.0132450331125828,NA,12
1.2,1.06948559724236,1.0015777743009,1.02906178866071,0.0264900662251656,NA,12
1.4,1.03152615693381,1.21056403804507,1.01626944856831,0.0033112582781457,NA,12
1.6,1.06240439984112,1.00205201984249,1.03445787603508,0.0033112582781457,NA,12
1.8,1.06667627167424,1.0010315895199,1.01481061381448,0.0033112582781457,NA,12
2,1.09325338974904,1.00257880209666,1.02463034931505,0.0033112582781457,NA,12
2.2,1.12035689876607,1.00218862101583,1.01899889350009,0,NA,12
2.4,1.08387805260291,1.00381453034341,1.02208329547364,0.00993377483443709,NA,12
2.6,1.0828550022908,1.00448428239011,1.03619535771171,0,NA,12
2.8,1.0805577537964,1.00285577932559,1.05942972653976,0,NA,12
3,1.0636404098024,1.00218584872837,1.05655883145565,0,NA,12
