"pscale","lambda_con","kappa_con","lambda_2_con","proportion","date_first","seed"
1,1.036366684007,1.00446322516002,1.0169674908858,0,NA,17
1.2,1.04337191752955,1.00250412833838,1.02544661142888,0,NA,17
1.4,1.05883565390334,1.0023964570047,1.02318337888614,0,NA,17
1.6,1.07266199474413,1.00443325374617,1.04064393973195,0,NA,17
1.8,1.0508249870448,1.00139548108699,1.01587867618794,0.00662251655629139,NA,17
2,1.06503786355687,1.00083145633294,1.01284604041707,0.00662251655629139,NA,17
2.2,1.09751904828765,1.00247953364557,1.02578896048285,0.0397350993377483,85,17
2.4,1.07992688519839,1.00347403847913,1.05017868607314,0,NA,17
2.6,1.04793496775977,1.00227504571107,1.03276993197237,0.0033112582781457,NA,17
2.8,1.05426954169163,1.00262630710465,1.02974681188168,0.0132450331125828,NA,17
3,1.09449054001782,1.00242836479343,1.02538344842259,0,NA,17
