"pscale","lambda_con","kappa_con","lambda_2_con","proportion","date_first","seed"
1,1.02667723510708,1.01256873204121,1.03053462692435,0,NA,9
1.2,1.03757730863472,1.00292561865084,1.03125974800369,0.0298013245033113,82,9
1.4,1.04857336899356,1.00165440502208,1.02281325155345,0.0165562913907285,NA,9
1.6,1.03709614958579,1.00208407541514,1.01065888912875,0.0033112582781457,NA,9
1.8,1.04815506257899,1.00197123879152,1.0244583618674,0.0231788079470199,NA,9
2,1.10035578527513,1.00218005960303,1.02292163881972,0.0033112582781457,NA,9
2.2,1.05408603851638,1.00350091547374,1.02725798888214,0.0033112582781457,NA,9
2.4,1.08831265163775,1.00288157887674,1.01224612494319,0.0132450331125828,NA,9
2.6,1.0786599992078,1.00240920852683,1.04872798933991,0,NA,9
2.8,1.0890952880989,1.00210694946983,1.01701168560906,0.00662251655629139,NA,9
3,1.12286409797301,1.00239081575928,1.03076140813631,0.0033112582781457,NA,9
