"pscale","lambda_con","kappa_con","lambda_2_con","proportion","date_first","seed"
1,1.02927600906623,1.16325353880664,1.00909732226266,0.0231788079470199,86,16
1.2,1.05744119612948,1.00156239984474,1.04934471983314,0.0231788079470199,NA,16
1.4,1.0675922675902,1.00097227655515,1.02327682679277,0,NA,16
1.6,1.03773361405758,1.00287866620332,1.01332367370539,0.0397350993377483,86,16
1.8,1.0614298248578,1.0027673925495,1.03159886366807,0.033112582781457,86,16
2,1.07882138988601,1.00233884729297,1.03624599441909,0.0165562913907285,NA,16
2.2,1.13929214684389,1.00222206887445,1.020944423353,0.0298013245033113,NA,16
2.4,1.09453472558891,1.00148168311456,1.02176379518195,0.0231788079470199,NA,16
2.6,1.08907667256038,1.0026372561155,1.024803821073,0.033112582781457,85,16
2.8,1.0600232039638,1.00418461991615,1.02832127672836,0.0165562913907285,NA,16
3,1.1076041154115,1.00328255208368,1.03715185158235,0.00662251655629139,NA,16
