"pscale","lambda_con","kappa_con","lambda_2_con","proportion","date_first","seed"
1,1.03563354707597,1.00224996599918,1.03572031999303,0,NA,20
1.2,1.08458763927068,1.0015377139646,1.01411859088544,0.0132450331125828,NA,20
1.4,1.08703885368143,1.00257967677346,1.02702994139092,0.033112582781457,82,20
1.6,1.07364991897788,1.00223322569017,1.02292426359893,0.00993377483443709,NA,20
1.8,1.04452249206158,1.00184618460752,1.02422130227247,0.0231788079470199,NA,20
2,1.08484333776932,1.0028803624268,1.01814257296138,0.0231788079470199,86,20
2.2,1.05656140711078,1.00359067883274,1.03308615239538,0.0364238410596026,83,20
2.4,1.05446741648792,1.00288168435249,1.03386791631302,0,NA,20
2.6,1.10049085336419,1.00228814919685,1.04585263156485,0.0033112582781457,NA,20
2.8,1.05461083256765,1.0034972894895,1.04121995099816,0.00993377483443709,NA,20
3,1.04782567982599,1.00173048238976,1.0474581715252,0.0033112582781457,NA,20
