"pscale","lambda_con","kappa_con","lambda_2_con","proportion","date_first","seed"
1,1.03750888017223,1.00545237303199,1.02599990008297,0.00993377483443709,NA,2
1.2,1.05714567143232,1.00297519999983,1.02374964691125,0.0165562913907285,NA,2
1.4,1.07713594381621,1.00148341728636,1.01489691891518,0.0264900662251656,86,2
1.6,1.04698214589838,1.00221971747771,1.0157099173854,0.033112582781457,NA,2
1.8,1.08960742480277,1.00208243610796,1.02057613416039,0.0165562913907285,NA,2
2,1.08920080758606,1.00185941943839,1.01939528386045,0.00662251655629139,NA,2
2.2,1.08235290668334,1.00211609787867,1.02832142406462,0.0198675496688742,NA,2
2.4,1.0805790697067,1.00184153695921,1.01971829222383,0.0198675496688742,NA,2
2.6,1.08453848924239,1.00241525745152,1.0268153797044,0.00662251655629139,NA,2
2.8,1.08586662103436,1.00183555728134,1.01452043889527,0,NA,2
3,1.10878071336495,1.00304996863412,1.03082929949779,0.00993377483443709,NA,2
