"pscale","lambda_con","kappa_con","lambda_2_con","proportion","date_first","seed"
1,1.06539731925454,1.22298084675207,1.04242477241255,0.0150602409638554,132,4
1.2,1.06501527698121,1.00184973983063,1.03383559095648,0,NA,4
1.4,1.05264317134278,1.1518900191415,1.02864940221901,0.0150602409638554,116,4
1.6,1.06577902736336,1.39489799610199,1.02754421112459,0.0120481927710843,NA,4
1.8,1.04516776538098,1.00441447142293,1.05372577460794,0.0240963855421687,116,4
2,1.0672696307012,1.00170818633716,1.01223910058485,0,NA,4
2.2,1.05792456226101,1.60770883444252,1.03004250827152,0.0210843373493976,119,4
2.4,1.09020832218607,1.00199946271757,1.04071760833255,0.00602409638554217,NA,4
2.6,1.12165411045967,1.0014034036247,1.03541045628674,0.00301204819277108,NA,4
2.8,1.11422010425652,1.00146601883427,1.0587292456916,0.00301204819277108,NA,4
3,1.06863331524118,1.0048894400896,1.04724260793576,0.00301204819277108,NA,4
