"pscale","lambda_con","kappa_con","lambda_2_con","proportion","date_first","seed"
1,1.05835348201474,1.00267201267106,1.04633609374857,0.0033112582781457,NA,3
1.2,1.02443616402341,1.1646846792247,1.03424684678429,0.00662251655629139,NA,3
1.4,1.06320256421843,1.00119031816821,1.01936951134493,0.0165562913907285,NA,3
1.6,1.0558058934734,1.00278529484594,1.02313421073139,0.033112582781457,88,3
1.8,1.06301088703689,1.0015445981506,1.02023917097926,0.00993377483443709,NA,3
2,1.08946480210546,1.00371263649716,1.0463270769441,0,NA,3
2.2,1.0548137143778,1.00351820778299,1.0273255204658,0.0264900662251656,NA,3
2.4,1.09553944677042,1.00159949396638,1.01656511282083,0.0529801324503311,83,3
2.6,1.04758537317937,1.00387003365176,1.02669207799063,0.0132450331125828,NA,3
2.8,1.05739556918126,1.00227409325262,1.05479850011363,0.0231788079470199,85,3
3,1.02375386161254,1.00182320091131,1.05283483192568,0.0033112582781457,NA,3
