"pscale","lambda_con","kappa_con","lambda_2_con","proportion","date_first","seed"
1,1.03033201504297,1.00795503732302,1.02096638898106,0.0033112582781457,NA,6
1.2,1.03618320420974,1.00243977579181,1.02017772829114,0.00662251655629139,NA,6
1.4,1.05024034495223,1.00140234025926,1.01096919578534,0.0033112582781457,NA,6
1.6,1.04574313107962,1.00306998605814,1.01684294263314,0.00993377483443709,NA,6
1.8,1.07111789199069,1.0017427680535,1.0232952958507,0.0165562913907285,85,6
2,1.05526653753947,1.00249296321795,1.02564319410094,0.00662251655629139,NA,6
2.2,1.0742447067927,1.00291086700271,1.01569121897551,0.00993377483443709,NA,6
2.4,1.04068012217356,1.00240729836517,1.03894893727301,0.00662251655629139,NA,6
2.6,1.03512451156898,1.00061101760815,1.02251541918048,0.0132450331125828,NA,6
2.8,1.08650471231531,1.00308146850533,1.0256116165924,0.00993377483443709,NA,6
3,1.03256382542789,1.00182388956698,1.03067212740232,0.0198675496688742,85,6
