"pscale","lambda_con","kappa_con","lambda_2_con","proportion","date_first","seed"
1,1.03275519314556,1.01568492850652,1.02770228554864,0,NA,5
1.2,1.08150099890829,1.002000506949,1.04531447022625,0,NA,5
1.4,1.05382185234711,1.0008804419078,1.01666713845338,0,NA,5
1.6,1.06606846579322,1.00352950186358,1.02866782165377,0.0198675496688742,85,5
1.8,1.09981554310567,1.0023364179236,1.03445754921183,0.00662251655629139,NA,5
2,1.04493614753786,1.00382550906821,1.03321823625229,0,NA,5
2.2,1.05789967567055,1.0022997376152,1.02783292461247,0.00993377483443709,NA,5
2.4,1.07272118911771,1.00216218030787,1.01561333716577,0.0231788079470199,85,5
2.6,1.0312350752625,1.00267987261307,1.03828680760558,0.0033112582781457,NA,5
2.8,1.06665126432279,1.00202930427689,1.03543358003566,0.00993377483443709,NA,5
3,1.04309948273489,1.0024959014541,1.06756268918603,0.0198675496688742,NA,5
