"pscale","lambda_con","kappa_con","lambda_2_con","proportion","date_first","seed"
1,1.02651979220336,1.01462909522221,1.02872097557787,0.0132450331125828,NA,10
1.2,1.03150192111438,1.07204487581266,1.01478596204547,0.0033112582781457,NA,10
1.4,1.03472684356288,1.00341647309649,1.02802938780417,0.0198675496688742,NA,10
1.6,1.08434139939968,1.00170568304022,1.02730079435345,0.0132450331125828,NA,10
1.8,1.05829791294553,1.00216248188404,1.0175536321282,0.0132450331125828,NA,10
2,1.07846569285815,1.00218093012275,1.02973856081011,0.033112582781457,85,10
2.2,1.06338935920614,1.00269539978174,1.03293312470435,0.00662251655629139,NA,10
2.4,1.13504300986472,1.00229105589582,1.0215632400378,0.0264900662251656,NA,10
2.6,1.12255054993028,1.00145588975743,1.03011542043286,0.00993377483443709,NA,10
2.8,1.07469023368836,1.00238482444404,1.03240556146557,0.00662251655629139,NA,10
3,1.05574633794534,1.00182955960318,1.04678831177891,0.00993377483443709,NA,10
