"pscale","lambda_con","kappa_con","lambda_2_con","proportion","date_first","seed"
1,1.05329647322252,1.02551873554044,1.02259592792092,0.00662251655629139,NA,19
1.2,1.06181857513394,1.00240372885192,1.02146794275477,0.0132450331125828,NA,19
1.4,1.05878213992263,1.00182321917629,1.01814539715064,0.0132450331125828,NA,19
1.6,1.0696439676545,1.00120528387313,1.02382436735785,0.0231788079470199,NA,19
1.8,1.08463801833087,1.00141481999525,1.02608990305461,0.00993377483443709,NA,19
2,1.07612285591367,1.00136677695122,1.02618103930029,0.0165562913907285,NA,19
2.2,1.12392669865825,1.00308813867453,1.02621912859238,0.0132450331125828,NA,19
2.4,1.08934931690915,1.00371223753584,1.01234038093445,0.0132450331125828,NA,19
2.6,1.08118291881594,1.0042560992287,1.02615847975565,0.00993377483443709,NA,19
2.8,1.08399162630621,1.00208840331891,1.01681627334347,0.0264900662251656,NA,19
3,1.07581563609411,1.00180402818155,1.01917644555383,0.0132450331125828,NA,19
