"pscale","lambda_con","kappa_con","lambda_2_con","proportion","date_first","seed"
1,1.02787570376334,1.01282336989352,1.03007244930703,0,NA,7
1.2,1.06486270253159,1.00124391107633,1.01951983816794,0.00993377483443709,NA,7
1.4,1.0361319382784,1.16813336835675,1.01602479306367,0.0496688741721854,85,7
1.6,1.04668275906143,1.00142161897803,1.0193267748204,0.00662251655629139,NA,7
1.8,1.05188860456869,1.00210573055231,1.0113238344301,0.0165562913907285,NA,7
2,1.08351337069105,1.00251723829302,1.04742524453524,0.0165562913907285,NA,7
2.2,1.05826587623728,1.00199996097181,1.04043955115779,0.0165562913907285,NA,7
2.4,1.06868925710042,1.00182338810679,1.0231692229749,0.00993377483443709,NA,7
2.6,1.05723671767742,1.00293183940788,1.02577645536772,0.0695364238410596,85,7
2.8,1.04582470999662,1.00328598208101,1.0417453548492,0.0165562913907285,NA,7
3,1.09387298099594,1.00230993800476,1.03813123704999,0.0397350993377483,85,7
