"pscale","lambda_con","kappa_con","lambda_2_con","proportion","date_first","seed"
1,1.01878150448408,1.15361042168434,1.03874408372239,0.0033112582781457,NA,8
1.2,1.06968632594918,1.00179675510957,1.03174315744735,0,NA,8
1.4,1.0395655249267,1.00161280924991,1.02665357985007,0.00993377483443709,NA,8
1.6,1.05929549405839,1.00319641694982,1.0147664895081,0.0231788079470199,86,8
1.8,1.09848108224474,1.00184966350408,1.0256731579337,0,NA,8
2,1.09892991048619,1.00218889141009,1.01343416570132,0.0033112582781457,NA,8
2.2,1.08713549424293,1.00305645845837,1.01944561448084,0.00993377483443709,NA,8
2.4,1.07087750276718,1.00481402049276,1.0209155896939,0.00662251655629139,NA,8
2.6,1.06451751934707,1.00254821621441,1.01994716628183,0.00993377483443709,NA,8
2.8,1.10905593629524,1.00241908587128,1.04494899543493,0.0033112582781457,NA,8
3,1.04892756634963,1.00284877961306,1.07827650016596,0.0132450331125828,NA,8
