"pscale","lambda_con","kappa_con","lambda_2_con","proportion","date_first","seed"
1,1.03233152685459,1.17129090456228,1.01724590167048,0.0165562913907285,NA,14
1.2,1.05335290927229,1.00248089859075,1.01951296975649,0,NA,14
1.4,1.11465257306585,1.00236860848088,1.01718838582823,0.0033112582781457,NA,14
1.6,1.05994651089449,1.00180800272308,1.01781724238367,0.00662251655629139,NA,14
1.8,1.06485330231318,1.00105899234762,1.02585202293382,0,NA,14
2,1.06334087607435,1.00241975829969,1.01187988412615,0.00662251655629139,NA,14
2.2,1.07089242107426,1.00467973452535,1.01424366084764,0.0033112582781457,NA,14
2.4,1.0564015761834,1.00271723578472,1.0220397786828,0.00662251655629139,NA,14
2.6,1.04685840704256,1.00244697370812,1.02078599853979,0.0132450331125828,NA,14
2.8,1.06262007980221,1.0023153935146,1.01307162931791,0.00662251655629139,NA,14
3,1.04399021017377,1.00295593200004,1.04814642484798,0.0033112582781457,NA,14
